INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Santa Clara University,3,0.5122,NULL,22710,57213,0.1389,0.8401,0.3726,2.9,20500,100259,67700
Scripps College,3,0.357,NULL,20030,58888,0.1323,0.8414,0.3683,1,13487.5,79296,47200
Shasta Bible College and Graduate School,3,1,NULL,18832,24984,0.7925,0.3125,0.3585,0,NULL,19742,NULL
Simpson University,3,0.555,NULL,13909,33889,0.5635,0.4724,0.9457,5.5,16676,44207,33700
Saint Mary's College of California,3,0.6947,NULL,27837,56500,0.3267,0.675,0.5307,4.6,25000,65861,59000
Sonoma State University,3,0.8186,11506,NULL,23675,0.2968,0.5392,0.4143,5.7,18750,46028,45600
South Baylo University,3,NULL,NULL,NULL,NULL,0.3385,NULL,0.2846,15.7,12667,7732,21600
Vanguard University of Southern California,3,0.6977,NULL,19026,41952,0.3797,0.5232,0.7302,4.9,25000,67855,38800
Southern California Institute of Architecture,3,0.8667,NULL,37313,50373,0.4906,0.5,0.5472,9.7,39500,20582,NULL
University of Southern California,3,0.1984,NULL,16729,59787,0.2308,0.9117,0.3826,1.8,22841.5,42938,66100
Thomas Aquinas College,3,0.7921,NULL,17977,35056,0.3568,0.7955,0.7486,1.1,15750,86948,NULL
Walden University,3,NULL,NULL,NULL,NULL,0.48,NULL,0.7288,7.8,31876,42880.5,54900
Westmont College,3,0.7016,NULL,22543,51760,0.2092,0.7577,0.5517,5.1,23250,96799,48300
Whittier College,3,0.6325,NULL,15985,49920,0.3551,0.6677,0.6934,6.2,26000,75319,45100
Woodbury University,3,0.5575,NULL,21898,42465,0.4852,0.4465,0.6741,7.6,31000,35334.5,45600
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,1,NULL,6425,23850,0.589,0.1667,0,0,NULL,40247.5,NULL
