INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Southern Vermont College,3,0.994,NULL,16816,33229,0.5171,0.3478,0.8757,13,25000,50006.5,34800
Sterling College,3,0.9388,NULL,16305,40202,0.625,0.3333,0.7813,3,16100,60337,NULL
University of Vermont,3,0.7755,11515,NULL,27788,0.1948,0.7582,0.4674,3.8,21893.5,77614,44000
Averett University,3,0.6329,NULL,17589,36240,0.4854,0.3277,0.7399,9.9,26000,53773.5,42300
Bluefield College,3,0.5729,NULL,18656,33668,0.2022,0.4494,0.3394,6.5,20625,52096,42800
Bridgewater College,3,0.5493,NULL,16100,41180,0.2672,0.5991,0.7288,6,27000,82400,42600
College of William and Mary,3,0.3321,21272,NULL,25938,0.1175,0.8993,0.2944,0.9,20785.5,98940,56400
Regent University,3,0.8514,NULL,16721,26825,0.5112,0.5116,0.7655,5.5,26806.5,35970,41300
Christopher Newport University,3,0.5902,15076,NULL,24696,0.1665,0.6551,0.5097,2.7,25000,95158,42400
Jefferson College of Health Sciences,3,0.4106,NULL,20619,31688,0.4072,0.3974,0.7529,4.9,24918.5,46314,52300
Emory & Henry College,3,0.6572,NULL,14203,40866,0.3967,0.4792,0.7143,6.8,27000,64582,39600
Eastern Mennonite University,3,0.6505,NULL,17857,38009,0.3052,0.6355,0.7224,4.3,22348,66842,39500
Ferrum College,3,0.7411,NULL,13893,38620,0.5689,0.3181,0.9026,12.8,30920,52888,36500
George Mason University,3,0.6203,13919,NULL,22332,0.2684,0.667,0.4474,1.8,20250,53311,57000
Hampden-Sydney College,3,0.5486,NULL,17696,49139,0.1991,0.6216,0.5769,5,27000,105824,50200
Hampton University,3,0.3605,NULL,21041,32358,0.3912,0.6751,0.2978,9.7,27474,55050,42200
Hollins University,3,0.693,NULL,15928,46049,0.3573,0.5971,0.7015,5.5,27000,63661.5,37000
James Madison University,3,0.6356,11207,NULL,21980,0.1343,0.815,0.3884,2.5,20683.5,99908,53400
Liberty University,3,0.2165,NULL,23000,31344,0.5021,0.5017,0.68,7.9,24750,51134,36300
Longwood University,3,0.8136,12969,NULL,23707,0.2344,0.6341,0.5385,3.6,25327,82459,40800
Lynchburg College,3,0.6369,NULL,19588,41818,0.2994,0.5619,0.7209,4.8,27000,77604,40900
Mary Baldwin College,3,0.8835,NULL,16989,39432,0.3803,0.3908,0.5549,3.9,27250,51999,36800
University of Mary Washington,3,0.8096,12323,NULL,21862,0.1542,0.7371,0.421,1.7,22150,94155.5,47400
Marymount University,3,0.8252,NULL,20450,36832,0.2393,0.5758,0.5773,3.1,25000,57612,49600
Sentara College of Health Sciences,3,NULL,NULL,NULL,NULL,0.2027,0.7788,0.4603,4.3,20000,31995,45800
Norfolk State University,3,0.6499,10205,NULL,18837,0.6169,0.3443,0.8228,20.6,31000,36184,34400
Old Dominion University,3,0.7679,10277,NULL,20531,0.3395,0.5117,0.5549,6.8,23867,48850,43300
Radford University,3,0.7831,10623,NULL,19987,0.2846,0.5853,0.5865,4.2,21500,73931,42100
Randolph-Macon College,3,0.637,NULL,19976,45842,0.2525,0.6224,0.7143,8.8,27000,92252.5,45700
Randolph College,3,0.8343,NULL,20049,44330,0.2921,0.5225,0.6661,3.3,27000,65811,38700
Bon Secours Memorial College of Nursing,3,0.5714,NULL,NULL,22508,0.1724,NULL,0.7448,3,27750,52285,62200
University of Richmond,3,0.3116,NULL,9905,55980,0.2005,0.8502,0.4229,1.7,19500,90735.5,60800
Roanoke College,3,0.7281,NULL,21290,48559,0.2451,0.6425,0.7034,4.4,27000,89451,42500
Shenandoah University,3,0.8456,NULL,22629,41369,0.1869,0.4559,0.5679,7.2,25000,71304,40600
Southern Virginia University,3,0.9987,NULL,18084,30068,0.5288,0.3254,0.6511,8.8,19715.5,60871.5,28800
Strayer University-Virginia,3,NULL,NULL,28516,32554,0.388,0.3093,0.5362,14.9,39499.5,NULL,51700
Sweet Briar College,3,0.8431,NULL,22377,46966,0.231,0.5693,0.4813,4.7,26000,89985,38600
The University of Virginia's College at Wise,3,0.7449,6562,NULL,18365,0.3798,0.4314,0.4244,12.3,20700,48359.5,36500
Virginia Intermont College,3,0.9646,NULL,19550,39429,0.506,0.4588,0.7681,NULL,23730,41927,34000
Virginia Polytechnic Institute and State University,3,0.7028,14115,NULL,25513,0.1735,0.8243,0.4304,2.6,25000,95419,57900
Virginia Commonwealth University,3,0.6913,13039,NULL,25291,0.2865,0.5681,0.5255,6,24750,55696,41800
University of Virginia-Main Campus,3,0.2999,7007,NULL,25255,0.1205,0.9307,0.2414,1.7,19500,84687,58600
Virginia Military Institute,3,0.4732,10904,NULL,24643,0.1508,0.7585,0.4645,6,23500,89939.5,56600
Virginia State University,3,0.9459,12158,NULL,20075,0.6829,0.4034,0.8463,13.7,28451,39006,34400
Virginia Union University,3,0.5848,NULL,18144,26885,0.6777,0.3547,0.8698,28.4,31000,39816.5,31600
Virginia Wesleyan College,3,0.9311,NULL,19774,41010,0.3669,0.4404,0.6506,10,27000,71035,38100
Washington and Lee University,3,0.1843,NULL,7663,56616,0.0958,0.9024,0.2301,1.1,19500,112856,77600
The Art Institute of Seattle,3,NULL,NULL,25676,32304,0.4398,0.2795,0.6694,16.3,27215,42452,34100
Central Washington University,3,0.8216,9714,NULL,21401,0.3547,0.5132,0.5472,7.9,21267,55180,44900
City University of Seattle,3,NULL,NULL,31749,33268,0.3022,0,0.584,5.4,25000,39081,50400
Cornish College of the Arts,3,0.5917,NULL,31811,45406,0.3871,0.4682,0.8947,6.3,27000,58607.5,29900
Eastern Washington University,3,0.7967,8706,NULL,19831,0.3871,0.4524,0.5349,6.3,20500,43755.5,40500
The Evergreen State College,3,0.9709,9093,NULL,21433,0.4426,0.5687,0.5371,7.9,17594,26490,31800
Gonzaga University,3,0.6651,NULL,21298,46475,0.1879,0.8228,0.5318,2.3,27000,87057,52800
Heritage University,3,NULL,NULL,9322,25933,0.7632,0.1842,0.7839,16,26500,21965,33000
Bastyr University,3,NULL,NULL,NULL,NULL,0.4126,NULL,0.6637,1.4,22770,22033.5,32000
Trinity Lutheran College,3,0.9574,NULL,11812,31957,0.4375,0.8571,0.6932,14.7,24796,56145,NULL
Northwest University,3,0.972,NULL,15044,34608,0.4199,0.4294,0.6487,4.6,24000,56863,40200
Pacific Lutheran University,3,0.7676,NULL,17763,45299,0.3086,0.7045,0.644,2.7,27000,67839.5,45900
University of Puget Sound,3,0.8522,NULL,25295,53785,0.2071,0.7816,0.5632,2.4,23500,84173.5,51500
Saint Martin's University,3,0.876,NULL,14028,40458,0.3656,0.4774,0.5742,6.1,25000,43484,47400
Seattle Pacific University,3,0.7214,NULL,18277,45125,0.3147,0.6899,0.6689,1.9,25000,81735,43900
Seattle University,3,0.7323,NULL,28004,50610,0.2109,0.7663,0.5757,3.8,25334,59408,55200
Walla Walla University,3,0.9286,NULL,19568,34747,0.3129,0.4593,0.6228,4.1,28250,55205,45800
Washington State University,3,0.8208,10996,NULL,26292,0.3323,0.6548,0.5109,4,20977,58238.5,46400
University of Washington-Seattle Campus,3,0.5523,6406,NULL,24606,0.2489,0.8183,0.3261,4.3,16326,38703,52100
Western Washington University,3,0.8371,9740,NULL,22009,0.255,0.6932,0.4661,4.7,19500,60238,43200
Whitman College,3,0.5696,NULL,19052,54865,0.104,0.8775,0.3587,1.7,15990,93725,43000
Whitworth University,3,0.6452,NULL,18920,45655,0.2297,0.7387,0.6246,4.5,26036.5,74397.5,41200
Alderson Broaddus University,3,0.4321,NULL,13282,33057,0.4818,0.4575,0.8232,9.9,29000,48013,43400
Appalachian Bible College,3,0.9091,NULL,12451,22543,0.458,0.6207,0.2902,2.2,10030,38314,27900
Bethany College,3,0.4948,NULL,18747,38226,0.4569,0.4781,0.8571,17.9,NULL,64954.5,40900
Bluefield State College,3,0.4267,7983,NULL,14940,0.5948,0.2365,0.6041,26.8,20500,21135,29400
University of Charleston,3,0.6905,NULL,19742,32147,0.3782,0.4568,0.6589,8.3,19375,56456,42000
Concord University,3,0.457,8680,NULL,17146,0.4738,0.3576,0.6086,17.3,21500,37164,32900
Davis & Elkins College,3,0.5734,NULL,15056,32812,0.4621,0.3833,0.6822,14.8,23500,38296,35900
Fairmont State University,3,0.6649,7656,NULL,14710,0.4803,0.3513,0.6396,17,23478,36183,34200
Glenville State College,3,0.7446,14479,NULL,19910,0.4052,0.3534,0.4821,21.7,27000,32757,31400
Marshall University,3,0.7868,6594,NULL,16361,0.4364,0.4438,0.6019,15.6,23804,41261,35100
Ohio Valley University,3,0.3639,NULL,10006,27759,0.5024,0.3645,0.783,8.6,23000,56558,34000
Salem International University,3,NULL,NULL,21629,28953,0.6978,0.0808,0.8718,27.6,26875,39514,29700
Shepherd University,3,0.8102,6857,NULL,14846,0.329,0.3792,0.5561,11.4,23149,59289.5,38500
West Virginia State University,3,0.4478,7175,NULL,13756,0.4612,0.1868,0.5265,14.2,23787.5,25404.5,29500
West Liberty University,3,0.7122,9332,NULL,18406,0.4003,0.4148,0.6177,18.1,24624,48827.5,33200
West Virginia University Institute of Technology,3,0.5131,5903,NULL,14465,0.3902,0.2024,0.5113,10.5,23808,34515,43900
West Virginia Wesleyan College,3,0.7696,NULL,16040,38796,0.3665,0.601,0.6791,11.4,26000,70830,43100
West Virginia University,3,0.851,7451,NULL,16898,0.2663,0.5744,0.5348,10.5,23808,69116,43900
Wheeling Jesuit University,3,0.6892,NULL,15092,34213,0.2474,0.5375,0.5765,6.9,27000,66698,43300
Alverno College,3,0.7887,NULL,13328,30496,0.6102,0.3852,0.8784,8.3,33110,38705,37400
Bellin College,3,0.5556,NULL,NULL,NULL,0.2621,0.6786,0.8145,4.6,18282,53422,55600
Beloit College,3,0.6769,NULL,15842,48236,0.1795,0.7815,0.5784,1,26500,90105,37900
Cardinal Stritch University,3,0.8423,NULL,19495,37563,0.4377,0.4162,0.7178,6.6,27875,48144.5,51000
Carroll University,3,0.8114,NULL,19832,37963,0.2827,0.5629,0.7108,4,27000,76166.5,43600
Carthage College,3,0.7018,NULL,28529,44910,0.2774,0.6501,0.8048,7.7,27000,89579,42400
Columbia College of Nursing,3,NULL,NULL,NULL,NULL,0.5313,NULL,0.9938,0,18454.5,NULL,NULL
Concordia University-Wisconsin,3,0.6992,NULL,18840,36660,0.3435,0.5569,0.678,6.8,25153,56964,40700
Edgewood College,3,0.7656,NULL,16683,35645,0.3353,0.5662,0.748,4.2,26975,63152,40900
Lakeland College,3,0.6621,NULL,15021,32706,0.3478,0.5083,0.6363,6.2,27000,45209,39900
Lawrence University,3,0.7269,NULL,18491,50570,0.224,0.8174,0.5738,0.9,27050,91379,42800
Maranatha Baptist University,3,0.7146,NULL,17254,23879,0.4386,0.4843,0.6932,0.9,18004,51539,32000
Marian University,3,0.7561,NULL,15872,33656,0.4213,0.4887,0.6489,5.3,27000,61347,39700
Marquette University,3,0.5745,NULL,19667,46649,0.1689,0.7824,0.508,2.5,27000,93069,55600
Milwaukee Institute of Art & Design,3,0.6119,NULL,22117,40585,0.4234,0.6324,0.8243,13.3,27750,76681.5,30600
Milwaukee School of Engineering,3,0.6839,NULL,16026,43747,0.2872,0.5582,0.7296,4.5,27000,77754,65700
Mount Mary University,3,0.5397,NULL,10818,33166,0.4725,0.4118,0.6679,6.5,30500,39454,37000
Northland International University,3,NULL,NULL,14979,24320,0.62,0.4837,0.505,3.3,13775,39926,NULL
Northland College,3,0.5907,NULL,13823,39123,0.4186,0.5762,0.7644,6.8,27000,61926,31900
Ripon College,3,0.7515,NULL,18762,40966,0.3534,0.7405,0.666,6.3,27000,76416.5,42800
Saint Norbert College,3,0.8194,NULL,16827,40204,0.2104,0.7417,0.6743,2.5,NULL,91780.5,45300
Silver Lake College of the Holy Family,3,0.6,NULL,13589,33274,0.2976,0.3684,0.4332,8,30500,37072,38100
Viterbo University,3,0.706,NULL,12521,32956,0.3796,0.4681,0.7373,5,27000,57043.5,41100
University of Wisconsin-Whitewater,3,0.8468,8717,NULL,16107,0.2963,0.5483,0.6431,7.6,25250,73639,41200
University of Wisconsin-Eau Claire,3,0.7646,9591,NULL,18066,0.2654,0.6693,0.5877,3.8,23250,78332,43400
University of Wisconsin-Green Bay,3,0.8476,9405,NULL,16878,0.3292,0.464,0.5818,4.2,21711,67408,39600
University of Wisconsin-La Crosse,3,0.72,10343,NULL,17896,0.226,0.672,0.5827,1.8,23203,81510.5,44100
Wisconsin Lutheran College,3,0.6356,NULL,13491,34192,0.332,0.6354,0.8602,2.9,24634.5,75194,37300
University of Wisconsin-Oshkosh,3,0.8134,9759,NULL,16935,0.2762,0.5351,0.5615,4.5,23868,69462,40500
University of Wisconsin-Parkside,3,0.7547,7353,NULL,15218,0.4259,0.3073,0.5988,12,24250,51714.5,36900
University of Wisconsin-Stout,3,0.8927,10723,NULL,18192,0.2958,0.5426,0.642,3.7,24752.5,74284.5,42000
University of Wisconsin-Superior,3,0.8927,9786,NULL,16953,0.4184,0.4111,0.6531,8.3,23500,45359,35600
University of Wisconsin-Madison,3,0.6792,9773,NULL,23718,0.1501,0.8284,0.3616,1.6,23000,87726,51000
University of Wisconsin-Milwaukee,3,0.8608,13509,NULL,21203,0.3567,0.4141,0.6362,6.1,25107.5,66757,42000
University of Wisconsin-Platteville,3,0.9647,9752,NULL,16824,0.306,0.5423,0.6314,4.1,24000,69457,44000
University of Wisconsin-River Falls,3,0.8663,9976,NULL,16682,0.3224,0.5141,0.6503,4.2,24700,75121,39700
University of Wisconsin-Stevens Point,3,0.8285,9682,NULL,16427,0.337,0.5804,0.653,4.1,25000,69497,39400
University of Wyoming,3,0.9569,8476,NULL,17652,0.2428,0.5409,0.3741,5.3,19000,51123,46200
University of Guam,3,NULL,10022,NULL,13026,0.5366,0.2826,0.3439,3.8,NULL,27585.5,31300
American University of Puerto Rico,3,NULL,NULL,10139,15030,0.8877,0.2215,0.0761,21,4000,12451,20300
American University of Puerto Rico,3,NULL,NULL,10364,15218,0.8448,0.2218,0.1022,21,4000,12451,20300
Universidad Adventista de las Antillas,3,0.8694,NULL,7757,13059,0.8195,0.3165,0.8896,22.7,15000,17122.5,21600
Atlantic University College,3,NULL,NULL,2908,7695,0.8718,0.3891,0.1053,18,5000,19053,18600
Bayamon Central University,3,0.7368,NULL,7029,11573,0.7144,0.2752,0.2194,16.4,7500,12591,19300
Carlos Albizu University-San Juan,3,NULL,NULL,NULL,NULL,0.5062,NULL,0.6667,10.3,18890,24662,24900
Caribbean University-Bayamon,3,NULL,NULL,2040,8006,0.8347,0.2166,0.221,29.6,9000,11511,17600
Caribbean University-Carolina,3,NULL,NULL,3233,8725,0.896,0.3093,0.2503,29.6,9000,11511,17600
Pontifical Catholic University of Puerto Rico-Arecibo,3,0.2466,NULL,4412,9395,0.8122,0.1923,0.4462,26.3,13095,14907,18600
Pontifical Catholic University of Puerto Rico-Ponce,3,0.6496,NULL,6240,11355,0.806,0.3882,0.5075,26.3,13095,14907,18600
Universidad Teologica del Caribe,3,NULL,NULL,7026,9801,0.7558,1,0.2151,0,NULL,18519,NULL
Universidad Metropolitana,3,NULL,NULL,9165,14431,0.8443,0.2491,0.4133,12.3,6699,12212,19800
Puerto Rico Conservatory of Music,3,0.6742,6926,NULL,12004,0.6446,0.7,0.1936,23.5,7500,25280.5,NULL
Escuela de Artes Plasticas de Puerto Rico,3,0.7154,2147,NULL,7248,0.7648,0.4127,0,0,NULL,17884,14500
Inter American University of Puerto Rico-San German,3,0.6976,NULL,5512,10830,0.8128,0.3586,0.2752,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Aguadilla,3,0.8642,NULL,5585,10896,0.8454,0.3341,0.2355,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Arecibo,3,0.47,NULL,7367,12408,0.8554,0.3081,0.2699,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Barranquitas,3,0.4761,NULL,6004,11331,0.9215,0.4149,0.3403,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Metro,3,0.3711,NULL,7829,13319,0.6713,0.2327,0.3487,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Ponce,3,0.5307,NULL,5086,10884,0.8452,0.3068,0.2217,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Fajardo,3,0.7632,NULL,5238,10578,0.8613,0.1958,0.2076,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Guayama,3,0.7286,NULL,6770,11944,0.8448,0.3066,0.4977,19.5,8500,13417.5,20000
Inter American University of Puerto Rico-Bayamon,3,0.4439,NULL,5088,10413,0.8096,0.2372,0.221,19.5,8500,13417.5,20000
University of Puerto Rico-Aguadilla,3,0.9234,1857,NULL,8055,0.811,0.321,0.116,11.8,5500,22433.5,NULL
University of Puerto Rico-Arecibo,3,0.5302,6072,NULL,11056,0.8188,0.4004,0.062,11.9,4600,22433.5,NULL
University of Puerto Rico-Bayamon,3,0.2547,3593,NULL,8509,0.6527,0.3924,0.0527,11.9,5500,22433.5,NULL
University of Puerto Rico-Carolina,3,0.8065,6446,NULL,11945,0.6995,0.3327,0.068,11.8,4957.5,22433.5,NULL
University of Puerto Rico-Cayey,3,0.8342,6688,NULL,11428,0.7355,0.4638,0.0395,11.8,5000,22433.5,NULL
University of Puerto Rico-Humacao,3,0.4487,5429,NULL,11686,0.7527,0.4343,0.0783,11.8,5000,22433.5,NULL
University of Puerto Rico-Mayaguez,3,0.725,8216,NULL,14726,0.6081,0.4284,0.1532,11.6,5500,22433.5,NULL
University of Puerto Rico-Medical Sciences,3,NULL,NULL,NULL,NULL,0.7773,NULL,0.2059,11.8,5500,22433.5,NULL
University of Puerto Rico-Ponce,3,0.6398,7544,NULL,13018,0.8067,0.4072,0.0725,11.9,5500,22433.5,NULL
University of Puerto Rico-Rio Piedras,3,0.5248,3086,NULL,8020,0.5895,0.4748,0.0966,11.9,5500,22433.5,NULL
Universidad Del Este,3,NULL,NULL,9243,14375,0.858,0.1996,0.3751,17.5,6555,12900,19200
Universidad del Sagrado Corazon,3,0.3186,NULL,5581,11651,0.6606,0.3435,0.3958,17.3,16750,17577,20100
Universidad Politecnica de Puerto Rico,3,0.8889,NULL,13667,19369,0.5959,0.1527,0.3376,10.8,16648,21569,25400
Pontifical Catholic University of Puerto Rico-Mayaguez,3,0.3056,NULL,4396,9351,0.8242,0.1789,0.4852,26.3,13095,14907,18600
Universidad Del Turabo,3,NULL,NULL,9139,14214,0.8732,0.1986,0.3769,13.2,6648,13954,18900
University of the Virgin Islands,3,0.9782,10834,NULL,16261,0.5549,0.2438,0.3103,16.4,12150,25917,34200
Stanford University,3,0.0569,NULL,3895,58408,0.1596,0.9576,0.1343,1,12224,53935.5,80900
Purdue University-Main Campus,3,0.6042,8167,NULL,23109,0.2058,0.6994,0.3878,5.1,23766,77728,52600
Parker University,3,NULL,NULL,NULL,NULL,0.3623,NULL,0.7681,7.6,7812,24893.5,42100
Widener University-Delaware Campus,3,NULL,NULL,22035,24366,0.2276,0.8,0.3034,5.8,27800,60128,51700
St John's College,3,0.8244,NULL,21610,56453,0.3983,0.5522,0.6705,3.9,27000,64414.5,32300
Yeshiva and Kollel Harbotzas Torah,3,NULL,NULL,NULL,NULL,0.9677,NULL,0,0,NULL,NULL,NULL
Bais Medrash Elyon,3,1,NULL,NULL,NULL,0.6,0.25,0,0,NULL,34033,NULL
Antioch University-Los Angeles,3,NULL,NULL,NULL,NULL,0.2801,NULL,0.4096,4.4,25329.5,26139,35500
Antioch University-Santa Barbara,3,NULL,NULL,NULL,NULL,0.5811,NULL,0.8378,4.4,25329.5,26139,35500
Antioch University-Seattle,3,0.7857,NULL,21207,36062,0.5677,NULL,0.8253,4.4,25329.5,26139,35500
Antioch University-Midwest,3,NULL,NULL,NULL,NULL,0.6034,NULL,0.8534,4.4,25329.5,26139,35500
Mid-America Christian University,3,NULL,NULL,18420,27266,0.5764,0.2231,0.7715,11.2,27375,41956.5,38900
Yeshiva Gedolah of Greater Detroit,3,1,NULL,7087,13800,0.5758,0.2174,0,0,NULL,42074,NULL
Austin Graduate School of Theology,3,NULL,NULL,NULL,NULL,0.6316,NULL,0.5263,3,NULL,15252,NULL
South University-Columbia,3,0.5075,NULL,23279,28290,0.7191,0.0541,0.7091,23.1,27167,28607,29800
Platt College-Aurora,3,0,NULL,36407,41957,0.5792,0.4667,0.797,11.7,42634,32641,32600
Kaplan University-Davenport Campus,3,NULL,NULL,18540,23712,0.6444,0.2,0.6497,20.4,30500,25568,34400
Christian Life College,3,NULL,NULL,17543,23776,0.413,1,0.4783,6.8,NULL,33403.5,NULL
Brandman University,3,1,NULL,NULL,NULL,0.4221,NULL,0.5504,3.5,21875,53889,NULL
New College of Florida,3,0.6061,7003,NULL,19781,0.2861,0.6584,0.3738,1,16500,55723,NULL
Caribbean University-Ponce,3,NULL,NULL,2864,8330,0.7995,0.1538,0.3969,29.6,9000,11511,17600
Caribbean University-Vega Baja,3,NULL,NULL,3099,8465,0.8736,0.2783,0.3,29.6,9000,11511,17600
University of Advancing Technology,3,NULL,NULL,28085,33800,0.4339,0.2414,0.6674,12.2,29125,50842,42900
South Florida Bible College and Theological Seminary,3,NULL,NULL,11038,16588,0.6087,NULL,0.4928,20,NULL,NULL,NULL
California State University-San Marcos,3,0.6251,9060,NULL,20386,0.431,0.4791,0.4157,6.4,18500,31166,45400
Argosy University-Hawaii,3,NULL,NULL,16821,24733,0.5376,NULL,0.5723,19.4,14323,36072,38200
McNally Smith College of Music,3,0.6221,NULL,28553,37924,0.3501,0.3817,0.7034,7.2,25750,66859.5,30300
Hodges University,3,0.8281,NULL,16987,23659,0.7107,0.3,0.7944,14.2,27607.5,27787,38100
Argosy University-Atlanta,3,NULL,NULL,19494,24208,0.7162,NULL,0.8063,19.4,14323,36072,38200
University of Phoenix-Online Campus,3,NULL,NULL,14240,19605,0.6059,0.2,0.6185,19,35500,35946.5,53400
University of Phoenix-San Diego Campus,3,NULL,NULL,19251,24094,0.4428,0.173,0.4338,19,35500,35946.5,53400
New England School of Communications,3,0.3005,NULL,18760,24040,0.4529,0.4726,0.8497,12.1,27000,56495,27200
Yeshiva Gedolah Imrei Yosef D'spinka,3,NULL,NULL,10398,15948,0.9615,0.6667,0,0,NULL,0,12000
Northwest College of Art & Design,3,0.8235,NULL,23137,31639,0.4118,0.3611,0.8,13.6,45000,57362,NULL
University of Washington-Bothell Campus,3,0.7568,6870,NULL,22800,0.3454,0.6757,0.4052,4.3,16326,38703,52100
University of Washington-Tacoma Campus,3,0.8523,5729,NULL,22185,0.4643,0.4943,0.5181,4.3,16326,38703,52100
University of Phoenix-Utah Campus,3,NULL,NULL,20326,24514,0.454,0.1985,0.5412,19,35500,35946.5,53400
Westwood College-Denver South,3,NULL,NULL,21041,25962,0.771,0.5,0.8226,16,38747.5,30932.5,35000
University of Phoenix-Puerto Rico Campus,3,NULL,NULL,14605,18886,0.5334,0.2197,0.6119,19,35500,35946.5,53400
Midwest College of Oriental Medicine-Racine,3,NULL,NULL,NULL,NULL,0.4583,NULL,0.9167,9,17273.5,47367,NULL
Beacon College,3,0.6475,NULL,39227,42291,0.2527,0.8333,0.543,8.6,24500,34777.5,NULL
University of the Potomac-Washington DC Campus,3,NULL,NULL,19221,23340,0.631,NULL,0.7103,15.7,30500,30368,65400
Rabbi Jacob Joseph School,3,1,NULL,8796,19372,0.3158,0.1176,0,0,NULL,NULL,NULL
Everglades University,3,0.9104,NULL,22947,27322,0.5563,0.6197,0.7164,13.9,44974,31989,41500
College of Biblical Studies-Houston,3,NULL,NULL,25343,29103,0.4507,0.5714,0.4547,12.2,16000,29639,46700
Watkins College of Art Design & Film,3,0.3498,NULL,23079,33979,0.4471,0.3704,0.6587,11,31125,44199.5,30100
Mt Sierra College,3,NULL,NULL,22187,28093,0.7153,0.3556,0.7974,7.6,47869.5,34188,43800
Soka University of America,3,0.4336,NULL,8771,40842,0.3034,0.8416,0.3425,12,19000,59558.5,NULL
Colorado Technical University-Sioux Falls,3,NULL,NULL,NULL,NULL,0.6587,0.2561,0.875,19.4,35500,29262,44100
Southwest University of Visual Arts-Albuquerque,3,NULL,NULL,47596,50053,0.5371,0.8438,0.69,19.7,50437,27715,27500
Schiller International University,3,NULL,NULL,29292,35082,0.7793,0.2,0.7655,22.8,26300,23095,NULL
Yeshivas Novominsk,3,1,NULL,6935,16400,0.3306,0.0556,0,0,NULL,20348,NULL
Rabbinical College of Ohr Shimon Yisroel,3,1,NULL,6152,15971,0.9726,0.3902,0,0,NULL,4354,11800
University of Phoenix-Southern Arizona Campus,3,NULL,NULL,19381,24367,0.619,0.2276,0.6741,19,35500,35946.5,53400
University of Phoenix-Colorado Campus,3,NULL,NULL,18362,23272,0.4641,0.1809,0.6852,19,35500,35946.5,53400
University of Phoenix-Albuquerque Campus,3,NULL,NULL,18025,23147,0.7033,0.26,0.7134,19,35500,35946.5,53400
University of Phoenix-Bay Area Campus,3,NULL,NULL,19474,23848,0.5353,0.1207,0.6299,19,35500,35946.5,53400
University of Phoenix-Southern California Campus,3,NULL,NULL,19947,24988,0.5458,0.1541,0.5867,19,35500,35946.5,53400
Westwood College-Dupage,3,NULL,NULL,23958,28604,0.7194,0.6273,0.8165,19.8,36833,29558.5,29800
Arizona State University-West,3,0.759,6917,NULL,20269,0.4954,0.5519,0.6145,8.5,20375,43477,NULL
California State University-Monterey Bay,3,0.444,6168,NULL,18479,0.476,0.3828,0.5159,7.6,17750,38387,41500
The Art Institute of California-Argosy University Hollywood,3,NULL,NULL,26530,33677,0.6856,0.2022,0.8297,19.4,14323,30448,38200
Capella University,3,NULL,NULL,NULL,NULL,0.4423,0,0.8493,13,33730,47899,69500
Baker College Center for Graduate Studies,3,NULL,NULL,21770,24120,0.5406,0,0.6739,17.6,24314.5,26420,26500
Johnson & Wales University-North Miami,3,0.6496,NULL,20221,38974,0.5593,0.4627,0.8251,11,27000,55421,35100
Trine University-Regional/Non-Traditional Campuses,3,0.303,NULL,14912,18080,0.5682,0,0.7248,8.5,26063,59270,42600
The University of Texas MD Anderson Cancer Center,3,NULL,NULL,NULL,NULL,0.3862,NULL,0.5172,5.6,NULL,25273,NULL
University of Phoenix-Las Vegas Campus,3,NULL,NULL,18963,23755,0.5745,0.2229,0.6389,19,35500,35946.5,53400
Messenger College,3,0.7619,NULL,12430,17578,0.78,0.1579,0.7,18.3,NULL,27685.5,NULL
Argosy University-Washington DC,3,NULL,NULL,20025,23317,0.5495,0.5,0.7253,19.4,14323,36072,38200
University of Phoenix-Sacramento Valley Campus,3,NULL,NULL,19013,23931,0.568,0.1779,0.6508,19,35500,35946.5,53400
University of Phoenix-Hawaii Campus,3,NULL,NULL,19433,24021,0.4402,0.2244,0.4145,19,35500,35946.5,53400
Yeshiva D'monsey Rabbinical College,3,1,NULL,12371,20063,0.96,0.0625,0,0,NULL,17532.5,NULL
Arizona State University-Polytechnic,3,0.7479,9256,NULL,21256,0.4074,0.5505,0.5658,8.5,20375,43477,NULL
Argosy University-Schaumburg,3,NULL,NULL,16660,24365,0.517,NULL,0.6327,19.4,14323,36072,38200
University of Phoenix-Louisiana Campus,3,NULL,NULL,17934,23197,0.6981,0.1481,0.7283,19,35500,35946.5,53400
University of Phoenix-Detroit Campus,3,NULL,NULL,20117,25395,0.7081,0.1357,0.7148,19,35500,35946.5,53400
Embry-Riddle Aeronautical University-Worldwide,3,0.9944,NULL,17655,20932,0.2531,0.5,0.1957,4.6,26000,52839,60900
Ottawa University-Milwaukee,3,NULL,NULL,NULL,NULL,0.5092,NULL,0.6595,8.7,25000,45681,40700
