INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Everest Institute-Hobby,NULL,NULL,20242,NULL,0.8072,NULL,0.5166,27.1,9500,13268,23700
Miller-Motte Technical College-North Charleston,NULL,NULL,20361,25147,0.8549,NULL,0.8447,20.9,22091,18784,22800
American Career College-Anaheim,NULL,NULL,25707,NULL,0.6792,NULL,0.5642,7.4,9500,15660,29800
Saginaw Chippewa Tribal College,NULL,7479,NULL,11862,0.3937,NULL,0,0,NULL,0,NULL
Wyo Tech-Blairsville,NULL,NULL,30366,NULL,0.5764,NULL,0.593,16.8,11600,56526,41500
Richmont Graduate University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL
The Seattle School of Theology & Psychology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Northwest College-Hillsboro,NULL,NULL,11207,NULL,0.5455,NULL,0.6894,18.6,16871.5,22242,17200
San Diego State University-Imperial Valley Campus,0.607,NULL,NULL,NULL,NULL,NULL,NULL,5.2,16460,37534,48700
American Broadcasting School-Arlington,NULL,NULL,10605,NULL,0.5889,NULL,0.5444,17.5,6895,20889,26000
Miami-Jacobs Career College-Sharonville,NULL,NULL,23368,26935,0.8765,NULL,0.8889,21.8,19811,18986,23900
East Valley Institute of Technology,NULL,7817,NULL,NULL,0.1802,NULL,0,0,NULL,25801,NULL
West Coast Ultrasound Institute,NULL,NULL,41447,44277,0.2043,NULL,0.341,6.7,20000,26487,NULL
Design's School of Cosmetology,NULL,NULL,7883,NULL,0.5098,NULL,0.4706,24.4,6329.5,10819,NULL
Design's School of Cosmetology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.4,6329.5,NULL,NULL
Paul Mitchell the School-Santa Barbara,NULL,NULL,16278,NULL,0.383,NULL,0.5872,18.4,17556,13910,NULL
University of the Rockies,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.7,NULL,NULL,NULL
Eli Whitney Technical High School,NULL,13963,NULL,NULL,0.3571,NULL,0,0,NULL,17477,NULL
Vinal Technical High School,1,16615,NULL,NULL,0.275,NULL,0,0,NULL,NULL,NULL
Windham Technical High School,NULL,9717,NULL,NULL,0.5,NULL,0,0,NULL,15908,NULL
Harris School of Business-Wilmington Campus,NULL,NULL,26643,NULL,0.6671,NULL,0.5059,29.3,8240,28728,NULL
Ultimate Medical Academy-Clearwater,NULL,NULL,14900,NULL,0.6667,NULL,0.8155,12.8,13224,14843.5,NULL
Florida Barber Academy,NULL,NULL,13646,NULL,0.7654,NULL,0.7358,46.5,13000,14061,NULL
Jacksonville Beauty Institute,NULL,NULL,7838,NULL,0.5537,NULL,0.5537,25.2,9500,8556,NULL
M-DCPS The English Center,NULL,NULL,NULL,NULL,0.153,NULL,0,0,NULL,15259,NULL
Florida Education Institute,NULL,NULL,16620,NULL,0.9411,NULL,0.8421,12.7,8555,1662.5,NULL
Superior Career Institute,NULL,NULL,15624,NULL,0.459,NULL,0.4235,20.3,6945,11150,18900
Institute of Technical Arts,NULL,NULL,10954,NULL,0.9,NULL,0.8489,26.3,9500,13149,NULL
National Graduate School of Quality Management,NULL,NULL,NULL,NULL,0,NULL,0.1529,3.5,12500,NULL,NULL
Texas County Technical College,NULL,NULL,21753,25377,0.7429,NULL,0.8357,13.5,14769,17158,NULL
Aviation Institute of Maintenance-Kansas City,NULL,NULL,23141,28756,0.4084,NULL,0.5236,31.1,26665,17514,37300
Blue Cliff College-Gulfport,NULL,NULL,22672,27622,0.8839,NULL,0.9196,15.3,9500,18855,21900
Apex School of Theology,NULL,NULL,9230,10705,0.8929,0.8,0.9341,12.6,NULL,29287.5,NULL
Institute for Therapeutic Massage,NULL,NULL,16415,NULL,0.7742,NULL,0.9516,9.8,6861,37389.5,NULL
Metropolitan Learning Institute,NULL,NULL,8655,NULL,0.9869,NULL,0.0893,15,10973.5,11976,NULL
Orleans Niagara BOCES-Practical Nursing Program,1,12037,NULL,NULL,0.7969,NULL,0.7656,19,13166,25217.5,NULL
Yeshiva Shaarei Torah of Rockland,1,NULL,18750,26750,0.5593,NULL,0,0,NULL,20349,NULL
Leon Studio One School of Hair Design,NULL,NULL,27703,NULL,0.3448,NULL,0.3966,13.2,9500,28195.5,15600
St Joseph's Medical Center School of Radiography,NULL,NULL,NULL,NULL,0.5652,NULL,0.6087,18.1,NULL,39299,NULL
American Institute of Alternative Medicine,0.9153,NULL,20429,25362,0.6165,NULL,0.8835,8.4,13000,31802.5,22400
Brown Aveda Institute-Mentor,NULL,NULL,11453,NULL,0.3558,NULL,0.4567,7.1,11030,30198.5,NULL
Institute of Technology Inc,NULL,NULL,23202,NULL,0.6982,NULL,0.714,12.2,9500,18962,NULL
Susquehanna County Career and Technology Center,NULL,NULL,NULL,NULL,0.65,NULL,0.75,12,9500,20253,NULL
Universidad Pentecostal Mizpa,NULL,NULL,5900,10933,0.7412,0.1429,0,0,NULL,15530,NULL
Caribbean Forensic and Technical College,NULL,NULL,4936,9161,0.9219,NULL,0,0,NULL,1845,NULL
Concorde Career College-Grand Prairie,1,NULL,19557,NULL,0.489,NULL,0.6355,14.5,9500,20015,47400
Kussad Institute of Court Reporting,NULL,NULL,8438,12600,0.4167,NULL,0.5,7.6,NULL,32075,NULL
Lamar Institute of Technology,NULL,9249,NULL,14321,0.3469,NULL,0.3003,34.8,10698,19359.5,48200
MJ's Beauty Academy Inc,NULL,NULL,13977,NULL,0.6833,NULL,0.475,20.4,9500,9625,NULL
Aviation Institute of Maintenance-Dallas,NULL,NULL,26052,30146,0.4241,NULL,0.5915,28.1,26250,26514.5,NULL
Healing Mountain Massage School,NULL,NULL,11561,NULL,0.5899,NULL,0.6763,12.5,9500,23309,NULL
Career Training Solutions,NULL,NULL,17077,NULL,0.4696,NULL,0.5439,14.5,8743.5,27138,NULL
Rudy & Kelly Academy of Hair and Nails,NULL,NULL,9519,NULL,0.3763,NULL,0.5263,12.1,13900,28104,NULL
South Branch Career and Technical Center,NULL,9641,NULL,NULL,0.9167,NULL,0,NULL,NULL,12089,NULL
Nevada State College,0.5037,9918,NULL,16547,0.3299,0.1379,0.4025,6.9,24756,45534,NULL
Virginia College-Jackson,NULL,NULL,12570,NULL,0.9413,NULL,0.6709,22.2,19000,15481,26400
Virginia College-Austin,NULL,NULL,18029,22381,0.757,NULL,0.8034,22.2,19000,15481,26400
California State University-Channel Islands,0.6443,11089,NULL,22570,0.3959,0.5156,0.4151,5,16000,32103,NULL
ITT Technical Institute-Springfield,0.8339,NULL,22970,26613,0.6,0.2967,0.7792,22.4,25833.5,29421,38400
ITT Technical Institute-Chantilly,0.8703,NULL,21798,26437,0.5848,0.3509,0.8221,22.4,25833.5,25842,38400
The Art Institute of California-Argosy University Orange County,NULL,NULL,24376,32068,0.6271,0.363,0.8344,19.4,14323,37488,38200
Franklin W Olin College of Engineering,0.1685,NULL,4077,59275,0.0673,0.9863,0.2778,0,19500,NULL,NULL
Lincoln Technical Institute-Northeast Philadelphia,NULL,NULL,18106,NULL,0.6841,NULL,0.7666,25.4,9504,15850.5,36200
Lincoln Technical Institute-Center City Philadelphia,NULL,NULL,17572,NULL,0.871,NULL,0.8417,25.4,9504,15850.5,36200
Won Institute of Graduate Studies,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Lincoln Technical Institute-Paramus,NULL,NULL,21938,NULL,0.6301,NULL,0.7805,25.4,9504,15850.5,36200
Pima Medical Institute-Colorado Springs,NULL,NULL,17918,NULL,0.5179,NULL,0.5939,10,9498,20361,27600
University of Phoenix-Kansas City Campus,NULL,NULL,19041,24514,0.7193,0.1875,0.7132,19,35500,35946.5,53400
University of Phoenix-Atlanta Campus,NULL,NULL,17525,22715,0.6908,0.1598,0.6961,19,35500,35946.5,53400
University of Phoenix-Chicago Campus,NULL,NULL,18989,24383,0.6263,0.1336,0.6922,19,35500,35946.5,53400
University of Phoenix-Nashville Campus,NULL,NULL,18041,23234,0.6964,0.1765,0.7046,19,35500,35946.5,53400
University of Phoenix-Northern Virginia Campus,NULL,NULL,19752,22347,0.2182,0.2,0.3682,19,35500,35946.5,53400
David's Academy of Beauty,NULL,NULL,15355,NULL,0.7775,NULL,0.0864,0,723.5,9073,NULL
Birthwise Midwifery School,1,NULL,NULL,NULL,0.2549,NULL,0.6078,13,NULL,31881.5,NULL
Argosy University-Dallas,NULL,NULL,21090,24365,0.6386,NULL,0.6988,19.4,14323,36072,38200
Le Cordon Bleu College of Culinary Arts-Orlando,NULL,NULL,15925,20936,0.6662,NULL,0.8067,26.6,29375,32306,27800
Paul Mitchell the School-Costa Mesa,NULL,NULL,16123,NULL,0.3561,NULL,0.4542,10.3,11000,33376,16900
Ave Maria School of Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4,NULL,NULL,NULL
Tulsa Welding School-Jacksonville,NULL,NULL,24214,NULL,0.5218,NULL,0.5462,21.1,9500,19982,36000
ITT Technical Institute-Canton,0.6701,NULL,22475,27412,0.7245,0.3939,0.8555,22.4,25833.5,26260.5,38400
ITT Technical Institute-Plymouth Meeting,0.8882,NULL,22795,27446,0.6419,NULL,0.7804,22.4,25833.5,30108,38400
Pennsylvania College of Health Sciences,0.5201,NULL,22167,28816,0.3593,0.6338,0.6735,2.6,18692,53853,53100
West Virginia Junior College-Bridgeport,NULL,NULL,11104,17627,0.8472,NULL,0.952,6.5,12369,15129,18600
Vatterott College-Cleveland,NULL,NULL,17206,22369,0.2698,NULL,0.1746,20.9,23116,13404,28700
St Louis College of Health Careers-Fenton,0.3158,NULL,NULL,NULL,0.719,NULL,0.5065,14.1,9500,12191,21900
Interactive College of Technology-Gainesville,NULL,NULL,12358,16580,0.413,NULL,0.413,3.6,7287,11626,22700
San Joaquin Valley College-Ontario,NULL,NULL,17678,22689,0.8555,NULL,0.9343,22.8,19648.5,18083,26900
Anthem Institute-Cherry Hill,NULL,NULL,25274,28774,0.8333,NULL,0.9476,15.7,9500,25018,45400
Alaska Christian College,NULL,NULL,8393,18094,1,NULL,0.65,19,NULL,NULL,NULL
Grantham University,NULL,NULL,10553,15252,0.1975,NULL,0.1936,0,13554,NULL,NULL
Minnesota School of Business-Plymouth,NULL,NULL,21938,28206,0.5222,0.5,0.7481,15.7,31061.5,33023,35700
Carrington College-Albuquerque,1,NULL,25051,NULL,0.6582,NULL,0.5653,21.3,9500,NULL,26200
NASCAR Technical Institute,NULL,NULL,19738,NULL,0.4757,NULL,0.6987,18.8,18363,46537,43400
Everest Institute-Tigard,NULL,NULL,22613,NULL,0.7047,NULL,0.5185,14.3,9500,25216,26100
University of the Potomac-VA Campus,NULL,NULL,14562,17800,0.3158,NULL,0.4211,15.7,30500,30368,65400
Anthem Institute-Las Vegas,NULL,NULL,22315,25370,0.7167,NULL,0.7985,18.7,10976,20261,27700
Milan Institute-Palm Desert,NULL,NULL,16665,NULL,0.6223,NULL,0.5914,22.1,9500,17230,21300
National American University-Overland Park,NULL,NULL,18330,23880,0.7314,0,0.8947,21.4,34486,29341.5,37800
Everest Institute-Austin,NULL,NULL,23292,NULL,0.7086,NULL,0.4946,21.4,9500,12451,21200
Everest College-Burr Ridge,NULL,NULL,24482,NULL,0.6971,NULL,0.6219,15.2,9500,21074,23000
Medvance Institute-West Palm,NULL,NULL,19306,25314,0.7148,NULL,0.631,12.4,9500,18986,23200
Tohono O'Odham Community College,NULL,4194,NULL,7853,0.3894,NULL,0,0,NULL,18893,NULL
Everest College-Dallas,NULL,NULL,25276,30277,0.808,NULL,0.6714,21.7,9500,15000.5,24900
Edward Via College of Osteopathic Medicine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
The Salter School-Malden Campus,NULL,NULL,27582,NULL,0.6742,NULL,0.4977,11.7,8758,19421,28200
Pacific College of Oriental Medicine-Chicago,NULL,NULL,23287,27450,0.4253,NULL,0.7586,9.8,17250,28650,23000
Southwest Institute of Healing Arts,NULL,NULL,31990,NULL,0.2616,NULL,0.6434,8.4,7917,23136,NULL
InterCoast Colleges-Riverside,NULL,NULL,23196,NULL,0.658,NULL,0.8476,16.8,12125,9622,23300
Ottawa University-Jeffersonville,NULL,NULL,NULL,NULL,0.514,NULL,0.5794,8.7,25000,45681,40700
University of Antelope Valley,NULL,NULL,17066,NULL,0.6026,0.3294,0.5281,12,9286,9964.5,NULL
Birthingway College of Midwifery,NULL,NULL,NULL,NULL,0.4111,NULL,0.6444,5.2,39772,24222,NULL
Blue Water College of Cosmetology Inc,NULL,NULL,18134,NULL,0.2203,NULL,0.661,14.6,9500,29571,NULL
Pima Medical Institute-Albuquerque West,NULL,NULL,17907,NULL,0.755,NULL,0.8609,17.4,8708,13096,NULL
Brighton Center's Center for Employment Training,NULL,NULL,8680,NULL,0.7125,NULL,0,0,NULL,6145,NULL
California Healing Arts College,NULL,NULL,19866,NULL,0.7368,NULL,0.7632,18.3,9500,22892,NULL
Dallas Barber & Stylist College,NULL,NULL,2093,NULL,0.5842,NULL,0,31.2,NULL,0,NULL
NorthShore University HealthSystem School of Nurse Anesthesia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Faith Evangelical College & Seminary,NULL,NULL,21676,23595,0.403,0.8333,0.3209,5.5,15451.5,38750.5,NULL
Family of Faith College,0.6667,NULL,NULL,21795,0.6,1,0.25,6.2,NULL,27744.5,NULL
Hood Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.6,NULL,NULL,NULL
Colegio Educativo Tecnologico Industrial Inc,NULL,NULL,8481,NULL,0.9654,NULL,0,0,NULL,0,NULL
Irene's Myomassology Institute,NULL,NULL,25518,NULL,0.574,NULL,0.6055,7.9,6598,31941,NULL
Jay's Technical Institute,NULL,NULL,16408,NULL,0.6555,NULL,0.4548,40.6,9500,4501,NULL
Mr John's School of Cosmetology Esthetics & Nails-Jacksonville,NULL,NULL,9432,NULL,0.5645,NULL,0.4677,4.6,12700,13410,NULL
NTMA Training Centers of Southern California,NULL,NULL,17645,NULL,0.8541,NULL,0.5826,27.8,7905,14094,NULL
P C Age-Jersey City,NULL,NULL,10191,NULL,0.4219,NULL,0.4518,7.5,13000,10098,NULL
P C Age-Edison,NULL,NULL,23636,NULL,0.65,NULL,0.73,7.5,13000,17144,NULL
American Institute-Margate,NULL,NULL,12979,NULL,0.719,NULL,0.7712,22.7,13000,13117.5,NULL
South Florida Institute of Technology,NULL,NULL,7789,NULL,1,NULL,0.5377,0,1441,8892,NULL
Southeastern Institute-Charleston,0.7395,NULL,17960,NULL,0.5237,NULL,0.5261,13,9500,28093,NULL
Southeastern Institute-Nashville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,9500,NULL,NULL
Southeastern College-Jacksonville,0.9524,NULL,23819,27776,0.7526,NULL,0.6392,19.4,14250,39950.5,NULL
Toni & Guy Hairdressing Academy-Colorado Springs,NULL,NULL,18843,NULL,0.4769,NULL,0.4692,6.9,13000,41573,NULL
Trend Barber College,NULL,NULL,3573,NULL,0.6402,NULL,0.6402,25,12500,1834,NULL
Valley Grande Institute for Academic Studies,NULL,NULL,11167,NULL,0.8555,NULL,0.8175,33.2,7917,15427.5,NULL
West Coast University-Los Angeles,0.5444,NULL,35368,41318,0.4249,NULL,0.7646,1.9,33832,48729,NULL
Williamson Christian College,NULL,NULL,14011,20737,0.4805,0,0.4156,2,NULL,50178,NULL
International Barber & Style College,NULL,NULL,14570,NULL,0.716,NULL,0.716,32.5,14565,4853,NULL
Triangle Tech Inc-Sunbury,NULL,NULL,17535,24535,0.6168,NULL,0.8318,8.9,12000,31600,35800
DigiPen Institute of Technology,0.6635,NULL,30905,37848,0.2866,0.5422,0.5888,1.3,27000,68233,NULL
California College of Vocational Careers,NULL,NULL,22741,NULL,0.4109,NULL,0.3721,NULL,13000,14083,NULL
Fortis Institute-Fort Lauderdale,NULL,NULL,27718,28772,0.9886,NULL,1,13.7,9908.5,16983,NULL
University of Phoenix-Charlotte Campus,NULL,NULL,17871,23434,0.7108,0.1463,0.6979,19,35500,35946.5,53400
Connecticut Center for Massage Therapy-Groton,NULL,NULL,33852,NULL,0.4585,NULL,0.8166,11.4,7600,45806,27300
Pierpont Community and Technical College,NULL,8249,NULL,13695,0.519,NULL,0.586,36.7,14975,NULL,NULL
ITT Technical Institute-Duluth,0.8525,NULL,22201,27093,0.7402,0.2167,0.8081,22.4,25833.5,25111,38400
ITT Technical Institute-Hilliard,0.6471,NULL,20709,26344,0.7106,0.2277,0.8306,22.4,25833.5,29868,38400
University of Phoenix-Indianapolis Campus,NULL,NULL,18488,23692,0.7205,0.0851,0.7458,19,35500,35946.5,53400
Dewey University-Hato Rey,NULL,NULL,4342,9819,0.9396,0.7022,0,0,NULL,0,16200
InterCoast Colleges-West Covina,NULL,NULL,21304,NULL,0.9959,NULL,0.9919,16.8,12125,9622,23300
American College of Healthcare Sciences,0.9559,NULL,21188,23600,0.0272,NULL,0,0,NULL,NULL,NULL
Le Cordon Bleu College of Culinary Arts-Atlanta,NULL,NULL,14515,19473,0.6775,NULL,0.794,22.6,15042,32289,28900
Colorado Media School,NULL,NULL,16391,NULL,0.692,NULL,0.8581,17.8,9500,24510,27700
Paul Mitchell the School-Rhode Island,NULL,NULL,18710,NULL,0.3731,NULL,0.5746,10.3,11000,33376,16900
Miller-Motte Technical College-Chattanooga,NULL,NULL,20780,25624,0.8194,NULL,0.8307,20.9,22091,18784,22800
Milan Institute-Sparks,NULL,NULL,19640,NULL,0.3299,NULL,0.3367,22.7,9500,15927,23400
Empire Beauty School-Framingham,NULL,NULL,14293,NULL,0.4506,NULL,0.5,17.1,10029,26777,25600
Westwood College-Chicago Loop,NULL,NULL,24780,28900,0.8657,0.3457,0.8574,21.1,37655.5,17602.5,32200
Interactive Learning Systems-North Houston,NULL,NULL,8255,NULL,0.2,NULL,0.2,30.7,6115,18577.5,22900
Bexley Hall Episcopal Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL
Anthem College-Fenton,NULL,NULL,23604,27440,0.7846,NULL,0.7276,14.5,10813,19177,21500
Everest Institute-Norcross,NULL,NULL,20869,25717,0.7024,NULL,0.4453,20.1,9500,13894,26700
Strayer University-Tennessee,NULL,NULL,29716,32554,0.7389,0,0.8809,14.9,39499.5,NULL,51700
Strayer University-Nashville Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Shelby Oaks Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Knoxville Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Pennsylvania,NULL,NULL,20350,32554,0.6256,0.25,0.7895,14.9,39499.5,NULL,51700
Strayer University-Delaware County Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-King of Prussia Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Center City Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Penn Center West Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Warrendale Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Strayer University-Allentown Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.9,39499.5,NULL,51700
Kaplan College-Brownsville,NULL,NULL,20645,NULL,0.2369,NULL,0.158,27.7,9500,14708,23400
Kaplan College-Corpus Christi,NULL,NULL,23543,NULL,0.506,NULL,0.4433,25.6,9496,13218.5,23600
School of Health,NULL,NULL,17940,NULL,0.9715,NULL,0.9212,38,9500,10985.5,15000
Everest College-Arlington,NULL,NULL,22363,27697,0.7267,NULL,0.5603,23.9,10944,13345,23400
University of Phoenix-Columbus Georgia Campus,NULL,NULL,18390,23814,0.7547,0.1835,0.6937,19,35500,35946.5,53400
University of Phoenix-Memphis Campus,NULL,NULL,18206,23827,0.7929,0.1713,0.7921,19,35500,35946.5,53400
University of Phoenix-Little Rock Campus,NULL,NULL,17945,23331,0.7538,0.1702,0.7209,19,35500,35946.5,53400
Toni & Guy Hairdressing Academy-Boise,NULL,NULL,17535,NULL,0.4808,NULL,0.5897,6.7,18969,26442,14600
Charlie's Guard-Detective Bureau and Academy Inc,NULL,NULL,5339,8931,0.8824,NULL,0,0,NULL,0,NULL
PCI Academy-Plymouth,NULL,NULL,13993,NULL,0.271,NULL,0.3271,10.9,10920.5,58470,18100
Everest College-Tacoma,NULL,NULL,20440,25721,0.6424,NULL,0.4476,17.6,9500,19890,29700
National University College-Rio Grande,0.835,NULL,9086,14101,0.8301,0.2154,0.4458,11.4,7533,0,16700
Creative Images Institute of Cosmetology-South Dayton,NULL,NULL,10261,NULL,0.526,NULL,0.5104,7.5,10067,24755,16600
Fortis Institute-Jacksonville,NULL,NULL,21957,NULL,0.7217,NULL,0.6978,14.7,11833,20548,23500
Brookline College-Albuquerque,NULL,NULL,23846,NULL,0.7701,0.4096,0.6336,18.7,9500,9091,22300
Byzantine Catholic Seminary of Saints Cyril and Methodius,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Remington College-Cleveland West Campus,NULL,NULL,NULL,NULL,0.7216,NULL,0.5255,9.5,9500,11798,22500
Northcentral University,NULL,NULL,NULL,NULL,0.304,NULL,0.3283,7,15625,NULL,NULL
Colorado Technical University-Online,NULL,NULL,16956,22041,0.6782,0.2015,0.8923,19.4,35500,29262,44100
Baker College of Allen Park,NULL,NULL,12711,17892,0.7082,0.0941,0.7444,17.6,24314.5,26420,26500
Bayamon Community College,NULL,NULL,4442,8971,0.9439,NULL,0,0,NULL,0,NULL
Harris School of Business-Dover Campus,NULL,NULL,24420,NULL,0.6276,NULL,0.4578,13,7917,15480,22800
Folsom Lake College,NULL,9030,NULL,15048,0.1926,NULL,0.0311,19.4,10500,11738,NULL
LeGrand Institute of Cosmetology Inc,NULL,NULL,9404,NULL,0.7143,NULL,0.7143,30.7,7000,18203,NULL
Everest Institute-Detroit,NULL,NULL,20938,NULL,0.7549,NULL,0.541,21.4,9500,12451,21200
Daymar Institute-Murfreesboro,NULL,NULL,24667,29475,0.8133,0.7179,0.8291,20,23658,19308,22500
Cambridge Technical Institute,0.4426,NULL,1987,NULL,0.5721,NULL,0,0,NULL,0,NULL
Empire Beauty School-Midlothian,NULL,NULL,13727,NULL,0.7639,NULL,0.7296,15.8,8167,24097,21200
Empire Beauty School-Owings Mills,NULL,NULL,14081,NULL,0.7604,NULL,0.6959,17.2,9046.5,20951.5,20400
Empire Beauty School-West Mifflin,NULL,NULL,13112,NULL,0.55,NULL,0.6222,17.2,9046.5,19487,17400
Bold Beauty Academy,NULL,NULL,4440,NULL,0.4348,NULL,0.4746,20.5,9951,23681,NULL
ATI College-Norwalk,NULL,NULL,18683,NULL,0.7752,NULL,0.7018,22.6,19125,20811,NULL
Advance Science Institute,NULL,NULL,18054,NULL,0.8533,NULL,0.7067,12.7,9500,281,NULL
Advanced College,NULL,NULL,19571,NULL,0.9048,NULL,0.7403,5.8,9500,10621,NULL
Advance Tech College,NULL,NULL,2178,NULL,1,NULL,0,0,NULL,0,NULL
Advanced Training Associates,NULL,NULL,12261,NULL,0.6813,NULL,0.4725,5.7,6600,NULL,NULL
American Advanced Technicians Institute,NULL,NULL,11346,NULL,0.6579,NULL,0.386,15,6544,16988,NULL
Anamarc College-El Paso Central,NULL,NULL,19989,NULL,0.6154,NULL,0.7985,NULL,8861,14316,NULL
Baptist University of the Americas,NULL,NULL,8729,14542,0.398,0.2941,0,19,NULL,20646,NULL
The Beauty Institute,NULL,NULL,12896,NULL,0.9894,NULL,0,0,NULL,12815,NULL
Beis Medrash Heichal Dovid,1,NULL,8552,16000,0.2703,0.1,0,0,NULL,26170,NULL
Bellefonte Academy of Beauty,NULL,NULL,9673,NULL,0.5301,NULL,0.5451,18,20000,12992.5,NULL
Blue Cliff Career College,NULL,NULL,19670,NULL,0.9477,NULL,1,21.2,7917,20928,NULL
Career Beauty College,NULL,NULL,8298,NULL,0.8095,NULL,0.4524,10,8500,13211,NULL
Paul Mitchell the School-Gastonia,NULL,NULL,15990,NULL,0.4615,NULL,0.4866,31.5,16500,14667,NULL
CES College,NULL,NULL,18978,NULL,0.7885,NULL,0.4581,0,17195.5,5358,NULL
Computer Tutor Business and Technical Institute,NULL,NULL,14907,NULL,0.6723,NULL,0.2429,13.5,4100,9542,NULL
Court Reporting Institute of Louisiana,NULL,NULL,25889,31430,0.6667,NULL,0.6667,9.6,NULL,35671,NULL
Auguste Escoffier School of Culinary Arts-Austin,NULL,NULL,26244,NULL,0.5545,NULL,0.6223,9.7,9500,29753,NULL
Culinary Institute Inc,NULL,NULL,22319,30117,0.7965,NULL,0.8834,22,25755,26228,NULL
Dade Medical College-Miami,NULL,NULL,20433,NULL,0.4843,0.7164,0.5461,18.8,25430,9587.5,NULL
Escuela Hotelera de San Juan,NULL,NULL,10315,14879,0.9731,NULL,0.2042,10.2,3500,12760,NULL
Expertise Cosmetology Institute,NULL,NULL,16561,NULL,1,NULL,1,27.8,8450,10820.5,NULL
Expertise Cosmetology Institute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.8,8450,NULL,NULL
Paul Mitchell the School-Monroe,NULL,NULL,13466,NULL,0.4878,NULL,0.622,16.6,17522,17399,NULL
Healing Arts Institute,NULL,NULL,NULL,NULL,0.5352,NULL,0.6197,3.2,7917,26611,NULL
Health Works Institute,0.6364,NULL,22333,NULL,0.6104,NULL,0.8831,18.7,7220,28260,NULL
In Session Arts of Cosmetology Beauty School,NULL,NULL,686,NULL,0.7368,NULL,0,0,NULL,10967,NULL
Moore Career College,0.6349,NULL,20201,NULL,0.5167,NULL,0.5167,4.4,8181,23074,NULL
Industrial Technical College,NULL,NULL,3097,8730,1,NULL,0,0,NULL,0,NULL
Institute of Beauty Occupation and Technology Course,NULL,NULL,6060,NULL,1,NULL,0,0,NULL,0,NULL
Institute of Clinical Acupuncture & Oriental Med,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.2,NULL,NULL,NULL
Institute of Hair Design,NULL,NULL,7386,NULL,0.3902,NULL,0.0244,12.5,NULL,7855.5,NULL
MedTech Institute-Atlanta Campus,NULL,NULL,23232,NULL,0.6193,NULL,0.6179,25,9500,13918,NULL
Jones International University,NULL,NULL,15575,20576,0.697,0.2,0.8152,19.9,32926,46525.5,NULL
Leston College,NULL,NULL,6211,NULL,1,NULL,0,0,NULL,0,NULL
Medical Professional Institute,0.9091,NULL,15809,NULL,0.401,NULL,0.6822,23,13131,17156,NULL
New Life Theological Seminary,NULL,NULL,22077,24685,0.6168,0.4,0.8224,17.9,NULL,30559,NULL
Nightingale College,NULL,NULL,NULL,NULL,0.4948,NULL,0.5876,30.3,17000,21814.5,NULL
Omnitech Institute,NULL,NULL,19122,NULL,0.9754,NULL,0.9789,24.9,9500,20955,NULL
PITC Institute,NULL,NULL,21621,NULL,0.4949,NULL,0.5631,4.1,12940,NULL,NULL
Skinworks School of Advanced Skincare,NULL,NULL,14538,NULL,0.2632,NULL,0.5158,6.9,7666,24659,NULL
Southeastern Institute-Columbia,0.7692,NULL,21121,NULL,0.5816,NULL,0.5476,16.1,9500,21646.5,NULL
Technical Learning Centers Inc,NULL,NULL,24034,NULL,0.9177,NULL,0.8305,24.6,9500,0,NULL
