INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Cortiva Institute-Tucson,NULL,NULL,18849,NULL,0.7105,NULL,0.8816,10.6,7875,24309.5,21800
Avalon School of Cosmetology-Mesa,NULL,NULL,11003,NULL,0.7927,NULL,0.7927,20.5,12907,28185,17900
Eastern Arizona College,NULL,-526,NULL,11649,0.1975,NULL,0,0,NULL,17652,27800
Embry-Riddle Aeronautical University-Prescott,0.7898,NULL,35611,45228,0.2884,0.5915,0.5596,4.6,26000,52839,60900
Frank Lloyd Wright School of Architecture,NULL,NULL,NULL,NULL,0.3333,NULL,0.3333,0,NULL,NULL,NULL
Glendale Community College,NULL,7181,NULL,12043,0.3814,NULL,0.1951,18.1,NULL,25542,33300
Grand Canyon University,0.548,NULL,26303,31613,0.5262,0.3036,0.6248,15.8,18750,48504,45200
Anthem College-Phoenix,NULL,NULL,28444,32523,0.7791,0.7996,0.8631,15.7,14024,22832,29500
International Academy of Hair Design,NULL,NULL,15463,NULL,0.7182,NULL,0.7656,19.3,11833,27778.5,20100
Kaplan College-Phoenix,NULL,NULL,17089,NULL,0.5151,NULL,0.5452,22.8,12594,19511,26300
GateWay Community College,NULL,7681,NULL,12673,0.3374,NULL,0.242,17.3,6946,21636,29800
Mesa Community College,NULL,8258,NULL,12744,0.3726,NULL,0.2546,19.2,NULL,26831,36000
ITT Technical Institute-Tucson,0.9703,NULL,21456,26194,0.7304,0.2182,0.7674,22.4,25833.5,23423,38400
ITT Technical Institute-Tempe,0.9796,NULL,22097,26194,0.68,0.25,0.7983,22.4,25833.5,26790,38400
Mohave Community College,NULL,11214,NULL,15718,0.4772,NULL,0.2421,29.3,13250,16976.5,26700
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,NULL,NULL,18964,NULL,0.4818,NULL,0.6593,19.5,18481,38622.5,33800
Dine College,NULL,8213,NULL,11396,0.8223,0.0205,0,0,NULL,16523,22500
Northern Arizona University,0.9137,12328,NULL,22771,0.3778,0.4924,0.5571,10.2,21450,43127,38800
Northland Pioneer College,NULL,9222,NULL,13342,0.2942,NULL,0,0,NULL,15569,22100
Ottawa University-Phoenix,NULL,NULL,NULL,NULL,0.5982,NULL,0.7946,8.7,25000,45681,40700
Phoenix College,NULL,7795,NULL,12521,0.4733,NULL,0.2878,20.6,11373,20846,32500
Cortiva Institute-Scottsdale,NULL,NULL,14724,NULL,0.5497,NULL,0.8079,16.2,7917,26600,25400
University of Phoenix-Phoenix Campus,NULL,NULL,18785,24167,0.5242,0.1568,0.6171,19,35500,35946.5,53400
Pima Community College,NULL,2219,NULL,7367,0.3268,NULL,0.1599,20.6,9500,20626,30100
Pima Medical Institute-Tucson,NULL,NULL,16895,NULL,0.4898,0.6189,0.6147,10,9498,20361,27600
Pima Medical Institute-Albuquerque,NULL,NULL,15144,NULL,0.6183,NULL,0.7193,10,9498,20361,27600
Prescott College,0.7293,NULL,19303,40206,0.4547,0.3768,0.6478,6.3,25000,29669,35200
Refrigeration School Inc,NULL,NULL,19940,NULL,0.6453,NULL,0.6808,10.7,12708,27100.5,37700
