INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Holy Apostles College and Seminary,NULL,13.413,15.93,0.2407,0.2,0.3333,1.6,NULL,NULL,NULL
Lyme Academy College of Fine Arts,0.8537,22.6,36.811,0.4051,0.9091,0.7215,8.4,27,56.525,NULL
Mitchell College,0.5766,23.631,43.386,0.338,0.403,0.6923,8.5,26.708,63.9695,29.8
University of New Haven,0.7441,25.815,48.28,0.2583,0.5443,0.7151,3.8,27,78.636,48.9
Paier College of Art Inc,NULL,11.093,17.46,0.2969,0.5882,0.6094,9.5,24.3045,56.343,24.6
Post University,0.8302,36.744,40.723,0.4313,0.3583,0.5312,13.6,25.857,47.674,36.6
Quinnipiac University,0.6722,26.844,53.476,0.1429,0.7627,0.6188,1.4,26,108.1,56.4
Sacred Heart University,0.7624,29.219,50.984,0.15,0.6977,0.706,3.6,25,99.091,54.1
University of Saint Joseph,0.857,21.511,42.885,0.3687,0.5212,0.7711,3.6,27,49.233,49.7
Southern Connecticut State University,0.7542,12.253,18.628,0.3462,0.4944,0.6169,5.6,24.4495,62.9725,41.7
Trinity College,0.3178,7.874,59.865,0.116,0.8628,0.1173,3.3,21.5,87.726,56.1
Wesleyan University,0.2092,7.455,61.167,0.1837,0.9154,0.3615,1.5,18.633,88.497,50.9
Western Connecticut State University,0.6549,13.304,19.446,0.2835,0.4447,0.5673,6.8,24.25,67.834,43.3
Yale University,0.0705,7.637,59.32,0.1273,0.9779,0.0969,0.9,12,45.6525,66
Delaware State University,0.4168,12.826,20.506,0.5034,0.3717,0.7236,14.1,29,40.163,34.2
University of Delaware,0.6468,11.626,21.748,0.1192,0.8001,0.4917,3.7,24.1265,102.027,54.3
Goldey-Beacom College,0.5231,19.214,32.255,0.3149,0.4255,0.568,9.8,24.375,52.206,43.9
Wesley College,0.625,19.72,35.199,0.4955,0.2178,0.8011,16.4,30.75,65.621,41.4
Wilmington University,NULL,14.285,16.978,0.3272,0.3897,0.4817,8.4,18.192,40.581,43
American University,0.4312,24.792,55.159,0.1565,0.7989,0.4603,3.3,23.5,86.431,55.9
Catholic University of America,0.6007,30.838,54.023,0.1232,0.6852,0.5693,2.6,26,106.352,54.5
Corcoran College of Art and Design,0.2712,28.035,47.459,0.285,0.5273,0.5337,5.9,27,62.038,34.1
University of the District of Columbia,NULL,15.074,19.873,0.4917,0.1605,0.4241,18.6,20,17.636,36.2
Gallaudet University,0.6558,10.361,29.852,0.4763,0.4828,0.4199,7.3,16.3205,26.73,25.6
George Washington University,0.3308,18.775,58.925,0.1356,0.8083,0.4048,1.4,25.175,85.746,64.5
Georgetown University,0.1697,10.516,59.9,0.1325,0.9245,0.2823,0.9,17.5,60.247,83.3
Howard University,0.493,22.273,40.129,0.4494,0.6065,0.6253,11.6,27,47.531,46.5
Strayer University-District of Columbia,NULL,NULL,NULL,0.5387,0.1667,0.7226,14.9,39.4995,34.4005,51.7
Trinity Washington University,0.5231,13.428,30.144,0.6483,0.3394,0.7873,12.7,30.375,35.959,52.1
The Baptist College of Florida,0.4257,8.528,15.748,0.6292,0.3684,0.6105,5.6,19.188,38.5165,29.9
Barry University,0.4678,18.56,41.019,0.5181,0.3729,0.7424,5.7,29.884,37.7675,45.3
Bethune-Cookman University,0.666,16.475,27.017,0.7762,0.5505,0.9369,16.8,35.65,31.109,28.7
Lynn University,0.776,31.304,48.735,0.2004,0.4128,0.3005,6.8,19.5,56.163,35.5
Carlos Albizu University-Miami,0.3621,15.33,22.158,0.6273,0.1739,0.7205,10.3,18.89,24.662,24.9
Johnson University Florida,0.4172,20.241,26.241,0.5267,0.3226,0.7861,NULL,23.543,41.133,29.5
University of Central Florida,0.4894,11.637,19.815,0.3771,0.6724,0.4547,5.4,18.5,38.3675,43
Clearwater Christian College,0.7009,15.426,28.463,0.5142,0.5366,0.5911,7.2,19.375,49.122,34.7
South University-West Palm Beach,0.65,23.185,28.808,0.6996,0.1563,0.7803,23.1,27.167,28.607,29.8
Eckerd College,0.7104,24.719,49.802,0.2341,0.6617,0.706,9.4,27,71.7,40.8
Edward Waters College,0.2732,12.191,22.929,0.841,0.2,0.8214,25.8,31.959,22.439,25.6
Embry-Riddle Aeronautical University-Daytona Beach,0.7405,31.444,45.648,0.3103,0.569,0.5962,4.6,26,52.839,60.9
Florida Agricultural and Mechanical University,0.45,10.706,19.191,0.6445,0.4094,0.7476,14.7,27.2745,33.649,37.3
Florida Atlantic University,0.4773,10.836,19.131,0.3999,0.4105,0.3996,7.6,17.25,32.086,41.4
Flagler College-St Augustine,0.4987,18.229,28.305,0.2922,0.6309,0.6073,6,23.638,61.14,37.2
Adventist University of Health Sciences,0.1336,18.381,21.358,0.3595,0.3953,0.5668,5.4,20.73,49.6575,51.1
Florida Institute of Technology,0.6045,27.536,52.49,0.2414,0.5437,0.459,15,26.158,73.4165,53.1
