INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Radford University,0.7831,10.623,19.987,0.2846,0.5853,0.5865,4.2,21.5,73.931,42.1
Randolph-Macon College,0.637,19.976,45.842,0.2525,0.6224,0.7143,8.8,27,92.2525,45.7
Randolph College,0.8343,20.049,44.33,0.2921,0.5225,0.6661,3.3,27,65.811,38.7
Bon Secours Memorial College of Nursing,0.5714,NULL,22.508,0.1724,NULL,0.7448,3,27.75,52.285,62.2
University of Richmond,0.3116,9.905,55.98,0.2005,0.8502,0.4229,1.7,19.5,90.7355,60.8
Roanoke College,0.7281,21.29,48.559,0.2451,0.6425,0.7034,4.4,27,89.451,42.5
Shenandoah University,0.8456,22.629,41.369,0.1869,0.4559,0.5679,7.2,25,71.304,40.6
Southern Virginia University,0.9987,18.084,30.068,0.5288,0.3254,0.6511,8.8,19.7155,60.8715,28.8
Strayer University-Virginia,NULL,28.516,32.554,0.388,0.3093,0.5362,14.9,39.4995,NULL,51.7
Sweet Briar College,0.8431,22.377,46.966,0.231,0.5693,0.4813,4.7,26,89.985,38.6
The University of Virginia's College at Wise,0.7449,6.562,18.365,0.3798,0.4314,0.4244,12.3,20.7,48.3595,36.5
Virginia Intermont College,0.9646,19.55,39.429,0.506,0.4588,0.7681,NULL,23.73,41.927,34
Virginia Polytechnic Institute and State University,0.7028,14.115,25.513,0.1735,0.8243,0.4304,2.6,25,95.419,57.9
Virginia Commonwealth University,0.6913,13.039,25.291,0.2865,0.5681,0.5255,6,24.75,55.696,41.8
University of Virginia-Main Campus,0.2999,7.007,25.255,0.1205,0.9307,0.2414,1.7,19.5,84.687,58.6
Virginia Military Institute,0.4732,10.904,24.643,0.1508,0.7585,0.4645,6,23.5,89.9395,56.6
Virginia State University,0.9459,12.158,20.075,0.6829,0.4034,0.8463,13.7,28.451,39.006,34.4
Virginia Union University,0.5848,18.144,26.885,0.6777,0.3547,0.8698,28.4,31,39.8165,31.6
Virginia Wesleyan College,0.9311,19.774,41.01,0.3669,0.4404,0.6506,10,27,71.035,38.1
Washington and Lee University,0.1843,7.663,56.616,0.0958,0.9024,0.2301,1.1,19.5,112.856,77.6
The Art Institute of Seattle,NULL,25.676,32.304,0.4398,0.2795,0.6694,16.3,27.215,42.452,34.1
Central Washington University,0.8216,9.714,21.401,0.3547,0.5132,0.5472,7.9,21.267,55.18,44.9
City University of Seattle,NULL,31.749,33.268,0.3022,0,0.584,5.4,25,39.081,50.4
Cornish College of the Arts,0.5917,31.811,45.406,0.3871,0.4682,0.8947,6.3,27,58.6075,29.9
Eastern Washington University,0.7967,8.706,19.831,0.3871,0.4524,0.5349,6.3,20.5,43.7555,40.5
The Evergreen State College,0.9709,9.093,21.433,0.4426,0.5687,0.5371,7.9,17.594,26.49,31.8
Gonzaga University,0.6651,21.298,46.475,0.1879,0.8228,0.5318,2.3,27,87.057,52.8
Heritage University,NULL,9.322,25.933,0.7632,0.1842,0.7839,16,26.5,21.965,33
Bastyr University,NULL,NULL,NULL,0.4126,NULL,0.6637,1.4,22.77,22.0335,32
Trinity Lutheran College,0.9574,11.812,31.957,0.4375,0.8571,0.6932,14.7,24.796,56.145,NULL
Northwest University,0.972,15.044,34.608,0.4199,0.4294,0.6487,4.6,24,56.863,40.2
Pacific Lutheran University,0.7676,17.763,45.299,0.3086,0.7045,0.644,2.7,27,67.8395,45.9
University of Puget Sound,0.8522,25.295,53.785,0.2071,0.7816,0.5632,2.4,23.5,84.1735,51.5
Saint Martin's University,0.876,14.028,40.458,0.3656,0.4774,0.5742,6.1,25,43.484,47.4
Seattle Pacific University,0.7214,18.277,45.125,0.3147,0.6899,0.6689,1.9,25,81.735,43.9
Seattle University,0.7323,28.004,50.61,0.2109,0.7663,0.5757,3.8,25.334,59.408,55.2
Walla Walla University,0.9286,19.568,34.747,0.3129,0.4593,0.6228,4.1,28.25,55.205,45.8
Washington State University,0.8208,10.996,26.292,0.3323,0.6548,0.5109,4,20.977,58.2385,46.4
University of Washington-Seattle Campus,0.5523,6.406,24.606,0.2489,0.8183,0.3261,4.3,16.326,38.703,52.1
Western Washington University,0.8371,9.74,22.009,0.255,0.6932,0.4661,4.7,19.5,60.238,43.2
Whitman College,0.5696,19.052,54.865,0.104,0.8775,0.3587,1.7,15.99,93.725,43
Whitworth University,0.6452,18.92,45.655,0.2297,0.7387,0.6246,4.5,26.0365,74.3975,41.2
Alderson Broaddus University,0.4321,13.282,33.057,0.4818,0.4575,0.8232,9.9,29,48.013,43.4
Appalachian Bible College,0.9091,12.451,22.543,0.458,0.6207,0.2902,2.2,10.03,38.314,27.9
Bethany College_2,0.4948,18.747,38.226,0.4569,0.4781,0.8571,17.9,NULL,64.9545,40.9
Bluefield State College,0.4267,7.983,14.94,0.5948,0.2365,0.6041,26.8,20.5,21.135,29.4
University of Charleston,0.6905,19.742,32.147,0.3782,0.4568,0.6589,8.3,19.375,56.456,42
Concord University,0.457,8.68,17.146,0.4738,0.3576,0.6086,17.3,21.5,37.164,32.9
Davis & Elkins College,0.5734,15.056,32.812,0.4621,0.3833,0.6822,14.8,23.5,38.296,35.9
Fairmont State University,0.6649,7.656,14.71,0.4803,0.3513,0.6396,17,23.478,36.183,34.2
Glenville State College,0.7446,14.479,19.91,0.4052,0.3534,0.4821,21.7,27,32.757,31.4
Marshall University,0.7868,6.594,16.361,0.4364,0.4438,0.6019,15.6,23.804,41.261,35.1
Ohio Valley University,0.3639,10.006,27.759,0.5024,0.3645,0.783,8.6,23,56.558,34
Salem International University,NULL,21.629,28.953,0.6978,0.0808,0.8718,27.6,26.875,39.514,29.7
Shepherd University,0.8102,6.857,14.846,0.329,0.3792,0.5561,11.4,23.149,59.2895,38.5
West Virginia State University,0.4478,7.175,13.756,0.4612,0.1868,0.5265,14.2,23.7875,25.4045,29.5
West Liberty University,0.7122,9.332,18.406,0.4003,0.4148,0.6177,18.1,24.624,48.8275,33.2
West Virginia University Institute of Technology,0.5131,5.903,14.465,0.3902,0.2024,0.5113,10.5,23.808,34.515,43.9
West Virginia Wesleyan College,0.7696,16.04,38.796,0.3665,0.601,0.6791,11.4,26,70.83,43.1
West Virginia University,0.851,7.451,16.898,0.2663,0.5744,0.5348,10.5,23.808,69.116,43.9
Wheeling Jesuit University,0.6892,15.092,34.213,0.2474,0.5375,0.5765,6.9,27,66.698,43.3
Alverno College,0.7887,13.328,30.496,0.6102,0.3852,0.8784,8.3,33.11,38.705,37.4
Bellin College,0.5556,NULL,NULL,0.2621,0.6786,0.8145,4.6,18.282,53.422,55.6
Beloit College,0.6769,15.842,48.236,0.1795,0.7815,0.5784,1,26.5,90.105,37.9
Cardinal Stritch University,0.8423,19.495,37.563,0.4377,0.4162,0.7178,6.6,27.875,48.1445,51
Carroll University,0.8114,19.832,37.963,0.2827,0.5629,0.7108,4,27,76.1665,43.6
Carthage College,0.7018,28.529,44.91,0.2774,0.6501,0.8048,7.7,27,89.579,42.4
Columbia College of Nursing,NULL,NULL,NULL,0.5313,NULL,0.9938,0,18.4545,NULL,NULL
Concordia University-Wisconsin,0.6992,18.84,36.66,0.3435,0.5569,0.678,6.8,25.153,56.964,40.7
Edgewood College,0.7656,16.683,35.645,0.3353,0.5662,0.748,4.2,26.975,63.152,40.9
Lakeland College,0.6621,15.021,32.706,0.3478,0.5083,0.6363,6.2,27,45.209,39.9
Lawrence University,0.7269,18.491,50.57,0.224,0.8174,0.5738,0.9,27.05,91.379,42.8
Maranatha Baptist University,0.7146,17.254,23.879,0.4386,0.4843,0.6932,0.9,18.004,51.539,32
Marian University_2,0.7561,15.872,33.656,0.4213,0.4887,0.6489,5.3,27,61.347,39.7
Marquette University,0.5745,19.667,46.649,0.1689,0.7824,0.508,2.5,27,93.069,55.6
Milwaukee Institute of Art & Design,0.6119,22.117,40.585,0.4234,0.6324,0.8243,13.3,27.75,76.6815,30.6
Milwaukee School of Engineering,0.6839,16.026,43.747,0.2872,0.5582,0.7296,4.5,27,77.754,65.7
Mount Mary University,0.5397,10.818,33.166,0.4725,0.4118,0.6679,6.5,30.5,39.454,37
Northland International University,NULL,14.979,24.32,0.62,0.4837,0.505,3.3,13.775,39.926,NULL
Northland College,0.5907,13.823,39.123,0.4186,0.5762,0.7644,6.8,27,61.926,31.9
Ripon College,0.7515,18.762,40.966,0.3534,0.7405,0.666,6.3,27,76.4165,42.8
Saint Norbert College,0.8194,16.827,40.204,0.2104,0.7417,0.6743,2.5,NULL,91.7805,45.3
Silver Lake College of the Holy Family,0.6,13.589,33.274,0.2976,0.3684,0.4332,8,30.5,37.072,38.1
Viterbo University,0.706,12.521,32.956,0.3796,0.4681,0.7373,5,27,57.0435,41.1
University of Wisconsin-Whitewater,0.8468,8.717,16.107,0.2963,0.5483,0.6431,7.6,25.25,73.639,41.2
University of Wisconsin-Eau Claire,0.7646,9.591,18.066,0.2654,0.6693,0.5877,3.8,23.25,78.332,43.4
University of Wisconsin-Green Bay,0.8476,9.405,16.878,0.3292,0.464,0.5818,4.2,21.711,67.408,39.6
University of Wisconsin-La Crosse,0.72,10.343,17.896,0.226,0.672,0.5827,1.8,23.203,81.5105,44.1
Wisconsin Lutheran College,0.6356,13.491,34.192,0.332,0.6354,0.8602,2.9,24.6345,75.194,37.3
University of Wisconsin-Oshkosh,0.8134,9.759,16.935,0.2762,0.5351,0.5615,4.5,23.868,69.462,40.5
University of Wisconsin-Parkside,0.7547,7.353,15.218,0.4259,0.3073,0.5988,12,24.25,51.7145,36.9
University of Wisconsin-Stout,0.8927,10.723,18.192,0.2958,0.5426,0.642,3.7,24.7525,74.2845,42
University of Wisconsin-Superior,0.8927,9.786,16.953,0.4184,0.4111,0.6531,8.3,23.5,45.359,35.6
University of Wisconsin-Madison,0.6792,9.773,23.718,0.1501,0.8284,0.3616,1.6,23,87.726,51
University of Wisconsin-Milwaukee,0.8608,13.509,21.203,0.3567,0.4141,0.6362,6.1,25.1075,66.757,42
University of Wisconsin-Platteville,0.9647,9.752,16.824,0.306,0.5423,0.6314,4.1,24,69.457,44
University of Wisconsin-River Falls,0.8663,9.976,16.682,0.3224,0.5141,0.6503,4.2,24.7,75.121,39.7
University of Wisconsin-Stevens Point,0.8285,9.682,16.427,0.337,0.5804,0.653,4.1,25,69.497,39.4
University of Wyoming,0.9569,8.476,17.652,0.2428,0.5409,0.3741,5.3,19,51.123,46.2
University of Guam,NULL,10.022,13.026,0.5366,0.2826,0.3439,3.8,NULL,27.5855,31.3
American University of Puerto Rico,NULL,10.139,15.03,0.8877,0.2215,0.0761,21,4,12.451,20.3
Universidad Adventista de las Antillas,0.8694,7.757,13.059,0.8195,0.3165,0.8896,22.7,15,17.1225,21.6
Atlantic University College,NULL,2.908,7.695,0.8718,0.3891,0.1053,18,5,19.053,18.6
Bayamon Central University,0.7368,7.029,11.573,0.7144,0.2752,0.2194,16.4,7.5,12.591,19.3
Carlos Albizu University-San Juan,NULL,NULL,NULL,0.5062,NULL,0.6667,10.3,18.89,24.662,24.9
Caribbean University-Bayamon,NULL,2.04,8.006,0.8347,0.2166,0.221,29.6,9,11.511,17.6
Caribbean University-Carolina,NULL,3.233,8.725,0.896,0.3093,0.2503,29.6,9,11.511,17.6
Pontifical Catholic University of Puerto Rico-Arecibo,0.2466,4.412,9.395,0.8122,0.1923,0.4462,26.3,13.095,14.907,18.6
Pontifical Catholic University of Puerto Rico-Ponce,0.6496,6.24,11.355,0.806,0.3882,0.5075,26.3,13.095,14.907,18.6
Universidad Teologica del Caribe,NULL,7.026,9.801,0.7558,1,0.2151,0,NULL,18.519,NULL
Universidad Metropolitana,NULL,9.165,14.431,0.8443,0.2491,0.4133,12.3,6.699,12.212,19.8
Puerto Rico Conservatory of Music,0.6742,6.926,12.004,0.6446,0.7,0.1936,23.5,7.5,25.2805,NULL
Escuela de Artes Plasticas de Puerto Rico,0.7154,2.147,7.248,0.7648,0.4127,0,0,NULL,17.884,14.5
Inter American University of Puerto Rico-San German,0.6976,5.512,10.83,0.8128,0.3586,0.2752,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Aguadilla,0.8642,5.585,10.896,0.8454,0.3341,0.2355,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Arecibo,0.47,7.367,12.408,0.8554,0.3081,0.2699,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Barranquitas,0.4761,6.004,11.331,0.9215,0.4149,0.3403,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Metro,0.3711,7.829,13.319,0.6713,0.2327,0.3487,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Ponce,0.5307,5.086,10.884,0.8452,0.3068,0.2217,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Fajardo,0.7632,5.238,10.578,0.8613,0.1958,0.2076,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Guayama,0.7286,6.77,11.944,0.8448,0.3066,0.4977,19.5,8.5,13.4175,20
Inter American University of Puerto Rico-Bayamon,0.4439,5.088,10.413,0.8096,0.2372,0.221,19.5,8.5,13.4175,20
University of Puerto Rico-Aguadilla,0.9234,1.857,8.055,0.811,0.321,0.116,11.8,5.5,22.4335,NULL
University of Puerto Rico-Arecibo,0.5302,6.072,11.056,0.8188,0.4004,0.062,11.9,4.6,22.4335,NULL
University of Puerto Rico-Bayamon,0.2547,3.593,8.509,0.6527,0.3924,0.0527,11.9,5.5,22.4335,NULL
University of Puerto Rico-Carolina,0.8065,6.446,11.945,0.6995,0.3327,0.068,11.8,4.9575,22.4335,NULL
University of Puerto Rico-Cayey,0.8342,6.688,11.428,0.7355,0.4638,0.0395,11.8,5,22.4335,NULL
University of Puerto Rico-Humacao,0.4487,5.429,11.686,0.7527,0.4343,0.0783,11.8,5,22.4335,NULL
University of Puerto Rico-Mayaguez,0.725,8.216,14.726,0.6081,0.4284,0.1532,11.6,5.5,22.4335,NULL
University of Puerto Rico-Medical Sciences,NULL,NULL,NULL,0.7773,NULL,0.2059,11.8,5.5,22.4335,NULL
University of Puerto Rico-Ponce,0.6398,7.544,13.018,0.8067,0.4072,0.0725,11.9,5.5,22.4335,NULL
University of Puerto Rico-Rio Piedras,0.5248,3.086,8.02,0.5895,0.4748,0.0966,11.9,5.5,22.4335,NULL
Universidad Del Este,NULL,9.243,14.375,0.858,0.1996,0.3751,17.5,6.555,12.9,19.2
Universidad del Sagrado Corazon,0.3186,5.581,11.651,0.6606,0.3435,0.3958,17.3,16.75,17.577,20.1
Universidad Politecnica de Puerto Rico,0.8889,13.667,19.369,0.5959,0.1527,0.3376,10.8,16.648,21.569,25.4
Pontifical Catholic University of Puerto Rico-Mayaguez,0.3056,4.396,9.351,0.8242,0.1789,0.4852,26.3,13.095,14.907,18.6
Universidad Del Turabo,NULL,9.139,14.214,0.8732,0.1986,0.3769,13.2,6.648,13.954,18.9
University of the Virgin Islands,0.9782,10.834,16.261,0.5549,0.2438,0.3103,16.4,12.15,25.917,34.2
Stanford University,0.0569,3.895,58.408,0.1596,0.9576,0.1343,1,12.224,53.9355,80.9
Purdue University-Main Campus,0.6042,8.167,23.109,0.2058,0.6994,0.3878,5.1,23.766,77.728,52.6
Parker University,NULL,NULL,NULL,0.3623,NULL,0.7681,7.6,7.812,24.8935,42.1
Widener University-Delaware Campus,NULL,22.035,24.366,0.2276,0.8,0.3034,5.8,27.8,60.128,51.7
St John's College_2,0.8244,21.61,56.453,0.3983,0.5522,0.6705,3.9,27,64.4145,32.3
Yeshiva and Kollel Harbotzas Torah,NULL,NULL,NULL,0.9677,NULL,0,0,NULL,NULL,NULL
Bais Medrash Elyon,1,NULL,NULL,0.6,0.25,0,0,NULL,34.033,NULL
Antioch University-Los Angeles,NULL,NULL,NULL,0.2801,NULL,0.4096,4.4,25.3295,26.139,35.5
Antioch University-Santa Barbara,NULL,NULL,NULL,0.5811,NULL,0.8378,4.4,25.3295,26.139,35.5
Antioch University-Seattle,0.7857,21.207,36.062,0.5677,NULL,0.8253,4.4,25.3295,26.139,35.5
Antioch University-Midwest,NULL,NULL,NULL,0.6034,NULL,0.8534,4.4,25.3295,26.139,35.5
Mid-America Christian University,NULL,18.42,27.266,0.5764,0.2231,0.7715,11.2,27.375,41.9565,38.9
Yeshiva Gedolah of Greater Detroit,1,7.087,13.8,0.5758,0.2174,0,0,NULL,42.074,NULL
Austin Graduate School of Theology,NULL,NULL,NULL,0.6316,NULL,0.5263,3,NULL,15.252,NULL
South University-Columbia,0.5075,23.279,28.29,0.7191,0.0541,0.7091,23.1,27.167,28.607,29.8
Platt College-Aurora,0,36.407,41.957,0.5792,0.4667,0.797,11.7,42.634,32.641,32.6
Kaplan University-Davenport Campus,NULL,18.54,23.712,0.6444,0.2,0.6497,20.4,30.5,25.568,34.4
Christian Life College,NULL,17.543,23.776,0.413,1,0.4783,6.8,NULL,33.4035,NULL
Brandman University,1,NULL,NULL,0.4221,NULL,0.5504,3.5,21.875,53.889,NULL
New College of Florida,0.6061,7.003,19.781,0.2861,0.6584,0.3738,1,16.5,55.723,NULL
Caribbean University-Ponce,NULL,2.864,8.33,0.7995,0.1538,0.3969,29.6,9,11.511,17.6
Caribbean University-Vega Baja,NULL,3.099,8.465,0.8736,0.2783,0.3,29.6,9,11.511,17.6
University of Advancing Technology,NULL,28.085,33.8,0.4339,0.2414,0.6674,12.2,29.125,50.842,42.9
South Florida Bible College and Theological Seminary,NULL,11.038,16.588,0.6087,NULL,0.4928,20,NULL,NULL,NULL
California State University-San Marcos,0.6251,9.06,20.386,0.431,0.4791,0.4157,6.4,18.5,31.166,45.4
Argosy University-Hawaii,NULL,16.821,24.733,0.5376,NULL,0.5723,19.4,14.323,36.072,38.2
McNally Smith College of Music,0.6221,28.553,37.924,0.3501,0.3817,0.7034,7.2,25.75,66.8595,30.3
Hodges University,0.8281,16.987,23.659,0.7107,0.3,0.7944,14.2,27.6075,27.787,38.1
Argosy University-Atlanta,NULL,19.494,24.208,0.7162,NULL,0.8063,19.4,14.323,36.072,38.2
University of Phoenix-Online Campus,NULL,14.24,19.605,0.6059,0.2,0.6185,19,35.5,35.9465,53.4
University of Phoenix-San Diego Campus,NULL,19.251,24.094,0.4428,0.173,0.4338,19,35.5,35.9465,53.4
New England School of Communications,0.3005,18.76,24.04,0.4529,0.4726,0.8497,12.1,27,56.495,27.2
Yeshiva Gedolah Imrei Yosef D'spinka,NULL,10.398,15.948,0.9615,0.6667,0,0,NULL,0,12
Northwest College of Art & Design,0.8235,23.137,31.639,0.4118,0.3611,0.8,13.6,45,57.362,NULL
University of Washington-Bothell Campus,0.7568,6.87,22.8,0.3454,0.6757,0.4052,4.3,16.326,38.703,52.1
University of Washington-Tacoma Campus,0.8523,5.729,22.185,0.4643,0.4943,0.5181,4.3,16.326,38.703,52.1
University of Phoenix-Utah Campus,NULL,20.326,24.514,0.454,0.1985,0.5412,19,35.5,35.9465,53.4
Westwood College-Denver South,NULL,21.041,25.962,0.771,0.5,0.8226,16,38.7475,30.9325,35
University of Phoenix-Puerto Rico Campus,NULL,14.605,18.886,0.5334,0.2197,0.6119,19,35.5,35.9465,53.4
Midwest College of Oriental Medicine-Racine,NULL,NULL,NULL,0.4583,NULL,0.9167,9,17.2735,47.367,NULL
Beacon College,0.6475,39.227,42.291,0.2527,0.8333,0.543,8.6,24.5,34.7775,NULL
University of the Potomac-Washington DC Campus,NULL,19.221,23.34,0.631,NULL,0.7103,15.7,30.5,30.368,65.4
Rabbi Jacob Joseph School,1,8.796,19.372,0.3158,0.1176,0,0,NULL,NULL,NULL
Everglades University,0.9104,22.947,27.322,0.5563,0.6197,0.7164,13.9,44.974,31.989,41.5
College of Biblical Studies-Houston,NULL,25.343,29.103,0.4507,0.5714,0.4547,12.2,16,29.639,46.7
Watkins College of Art Design & Film,0.3498,23.079,33.979,0.4471,0.3704,0.6587,11,31.125,44.1995,30.1
Mt Sierra College,NULL,22.187,28.093,0.7153,0.3556,0.7974,7.6,47.8695,34.188,43.8
Soka University of America,0.4336,8.771,40.842,0.3034,0.8416,0.3425,12,19,59.5585,NULL
Colorado Technical University-Sioux Falls,NULL,NULL,NULL,0.6587,0.2561,0.875,19.4,35.5,29.262,44.1
Southwest University of Visual Arts-Albuquerque,NULL,47.596,50.053,0.5371,0.8438,0.69,19.7,50.437,27.715,27.5
Schiller International University,NULL,29.292,35.082,0.7793,0.2,0.7655,22.8,26.3,23.095,NULL
Yeshivas Novominsk,1,6.935,16.4,0.3306,0.0556,0,0,NULL,20.348,NULL
Rabbinical College of Ohr Shimon Yisroel,1,6.152,15.971,0.9726,0.3902,0,0,NULL,4.354,11.8
University of Phoenix-Southern Arizona Campus,NULL,19.381,24.367,0.619,0.2276,0.6741,19,35.5,35.9465,53.4
University of Phoenix-Colorado Campus,NULL,18.362,23.272,0.4641,0.1809,0.6852,19,35.5,35.9465,53.4
University of Phoenix-Albuquerque Campus,NULL,18.025,23.147,0.7033,0.26,0.7134,19,35.5,35.9465,53.4
University of Phoenix-Bay Area Campus,NULL,19.474,23.848,0.5353,0.1207,0.6299,19,35.5,35.9465,53.4
University of Phoenix-Southern California Campus,NULL,19.947,24.988,0.5458,0.1541,0.5867,19,35.5,35.9465,53.4
Westwood College-Dupage,NULL,23.958,28.604,0.7194,0.6273,0.8165,19.8,36.833,29.5585,29.8
Arizona State University-West,0.759,6.917,20.269,0.4954,0.5519,0.6145,8.5,20.375,43.477,NULL
California State University-Monterey Bay,0.444,6.168,18.479,0.476,0.3828,0.5159,7.6,17.75,38.387,41.5
The Art Institute of California-Argosy University Hollywood,NULL,26.53,33.677,0.6856,0.2022,0.8297,19.4,14.323,30.448,38.2
Capella University,NULL,NULL,NULL,0.4423,0,0.8493,13,33.73,47.899,69.5
Baker College Center for Graduate Studies,NULL,21.77,24.12,0.5406,0,0.6739,17.6,24.3145,26.42,26.5
Johnson & Wales University-North Miami,0.6496,20.221,38.974,0.5593,0.4627,0.8251,11,27,55.421,35.1
Trine University-Regional/Non-Traditional Campuses,0.303,14.912,18.08,0.5682,0,0.7248,8.5,26.063,59.27,42.6
The University of Texas MD Anderson Cancer Center,NULL,NULL,NULL,0.3862,NULL,0.5172,5.6,NULL,25.273,NULL
University of Phoenix-Las Vegas Campus,NULL,18.963,23.755,0.5745,0.2229,0.6389,19,35.5,35.9465,53.4
Messenger College,0.7619,12.43,17.578,0.78,0.1579,0.7,18.3,NULL,27.6855,NULL
Argosy University-Washington DC,NULL,20.025,23.317,0.5495,0.5,0.7253,19.4,14.323,36.072,38.2
University of Phoenix-Sacramento Valley Campus,NULL,19.013,23.931,0.568,0.1779,0.6508,19,35.5,35.9465,53.4
University of Phoenix-Hawaii Campus,NULL,19.433,24.021,0.4402,0.2244,0.4145,19,35.5,35.9465,53.4
Yeshiva D'monsey Rabbinical College,1,12.371,20.063,0.96,0.0625,0,0,NULL,17.5325,NULL
Arizona State University-Polytechnic,0.7479,9.256,21.256,0.4074,0.5505,0.5658,8.5,20.375,43.477,NULL
Argosy University-Schaumburg,NULL,16.66,24.365,0.517,NULL,0.6327,19.4,14.323,36.072,38.2
University of Phoenix-Louisiana Campus,NULL,17.934,23.197,0.6981,0.1481,0.7283,19,35.5,35.9465,53.4
University of Phoenix-Detroit Campus,NULL,20.117,25.395,0.7081,0.1357,0.7148,19,35.5,35.9465,53.4
Embry-Riddle Aeronautical University-Worldwide,0.9944,17.655,20.932,0.2531,0.5,0.1957,4.6,26,52.839,60.9
Ottawa University-Milwaukee,NULL,NULL,NULL,0.5092,NULL,0.6595,8.7,25,45.681,40.7
Argosy University-Tampa,NULL,NULL,NULL,0.6145,NULL,0.6265,19.4,14.323,36.072,38.2
The Illinois Institute of Art-Schaumburg,NULL,23.128,30.219,0.5162,0.4277,0.8437,18.9,27.6665,44.2335,34.9
The Art Institute of Phoenix,NULL,25.152,30.617,0.6631,0.3631,0.8232,24.6,21.599,24.284,25.2
Colorado Technical University-Greenwood Village,NULL,15.88,22.236,0.5347,0.1509,0.7314,19.4,35.5,29.262,44.1
Strayer University-Maryland,NULL,28.626,32.554,0.4449,0.2308,0.6459,14.9,39.4995,NULL,51.7
San Juan Bautista School of Medicine,NULL,3.861,9.411,0.6875,NULL,0.625,10.4,NULL,NULL,NULL
Texas Health and Science University,NULL,NULL,NULL,0.7778,NULL,0.8889,9,NULL,NULL,NULL
New Hampshire Institute of Art,NULL,19.662,32.784,0.3757,0.7841,0.8324,12.6,27,64.839,NULL
Yeshiva of the Telshe Alumni,1,8.8,18,0.433,0.0385,0,0,NULL,35.839,NULL
University of Phoenix-Western Washington Campus,NULL,19.365,24.058,0.4808,0.2206,0.6518,19,35.5,35.9465,53.4
University of Phoenix-Central Florida Campus,NULL,18.742,24.333,0.6519,0.2796,0.6528,19,35.5,35.9465,53.4
University of Phoenix-Oregon Campus,NULL,18.606,24.184,0.669,0.2083,0.7429,19,35.5,35.9465,53.4
The Art Institute of California-Argosy University Los Angeles,NULL,25.82,33.399,0.6352,0.259,0.8163,19.4,14.323,37.488,38.2
American University of Health Sciences,0.5,28.199,29.966,0.5061,0.8919,0.8259,10.9,31.997,19.518,36.8
Western Governors University,NULL,12.184,14.47,0.4196,0.2418,0.6445,6.6,16.667,41.69,38.8
Florida Gulf Coast University,0.6579,11.494,18.097,0.3467,0.4416,0.4679,6.3,18.5,46.981,41.2
National Labor College,NULL,NULL,NULL,0.1521,NULL,0.3172,NULL,25,NULL,NULL
Michigan Jewish Institute,0.981,9.764,15.022,0.9764,0.1176,0.0036,6.6,NULL,27.033,18.4
Yeshiva College of the Nations Capital,NULL,NULL,17.7,0.0444,1,0,0,NULL,NULL,NULL
University of Phoenix-South Florida Campus,NULL,18.909,23.898,0.554,0.2034,0.6478,19,35.5,35.9465,53.4
University of Phoenix-North Florida Campus,NULL,18.883,24.315,0.5222,0.2,0.4896,19,35.5,35.9465,53.4
University of Phoenix-West Florida Campus,NULL,19.389,24.152,0.5511,0.1698,0.5885,19,35.5,35.9465,53.4
University of Phoenix-Maryland Campus,NULL,18.287,23.434,0.4102,0.1522,0.5103,19,35.5,35.9465,53.4
University of Phoenix-Oklahoma City Campus,NULL,17.403,23.037,0.7351,0.2026,0.7108,19,35.5,35.9465,53.4
University of Phoenix-Tulsa Campus,NULL,20.394,23.434,0.6877,0.1385,0.7115,19,35.5,35.9465,53.4
Louisiana State University Health Sciences Center-Shreveport,NULL,NULL,NULL,0.2,NULL,0.44,0.4,25.205,20.037,NULL
Argosy University-Phoenix,NULL,18.252,22.793,0.6492,NULL,0.7068,19.4,14.323,36.072,38.2
Argosy University-Orange County,NULL,20.925,25.763,0.5546,NULL,0.6849,19.4,14.323,36.072,38.2
International Baptist College and Seminary,NULL,16.887,24.192,0.5556,0.5556,0.2407,6,NULL,32.484,NULL
University of Connecticut-Tri-Campus,0.4207,5.846,13.099,0.3402,0.5029,0.4705,3.8,21.5,86.51,53.9
University of Connecticut-Avery Point,0.594,6.271,12.946,0.2588,0.4796,0.4771,3.8,21.5,86.51,53.9
University of Connecticut-Stamford,0.4107,6.021,13.028,0.3094,0.6243,0.3653,3.8,21.5,86.51,53.9
University of Management and Technology,NULL,15.862,17.25,0.0617,NULL,0.0504,0,6.875,NULL,NULL
Linfield College-School of Nursing,NULL,NULL,NULL,0.3043,NULL,0.8338,3.3,25,65.697,51.3
Westwood College-Anaheim,NULL,21.162,27.364,0.7884,0.4641,0.8367,16,38.7475,30.9325,35
University of Phoenix-Southern Colorado Campus,NULL,17.959,23.434,0.4711,0.0882,0.4314,19,35.5,35.9465,53.4
University of Phoenix-West Michigan Campus,NULL,18.929,24.448,0.79,0.1458,0.7568,19,35.5,35.9465,53.4
